Data item No.,Section,Sub-section,Data Item Name,Data Item Description,"Datatype (Indicative only)",National Code,Notes,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_HEP_231,Treatment,,TreatmentStartDate,Date of start of treatment,Datetime,,,,,,,,
NHIC_HEP_232,Treatment,,TreatmentEndDate,Date of end of treatment,Datetime,,,,,,,,
NHIC_HEP_233,Treatment,,ReasonStoppedCode,Reason for stopping treatment. References table ReasonStoppedCodes in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_234,Treatment,,OptimalAdherence,Adherence to treatment as 80% of intended dose.  References YesNoCodes,Nchar(1),,,,,,,,
NHIC_HEP_235,Treatment,,HCV RVR,Achieved at RVR (after 4 weeks). References table RVRCodes in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_236,Treatment,,HCV EVR,Achieved at EVR (after 12 weeks). References table EVRCodes in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_237,Treatment,,HCV eRVR, =neg at 4 AND 12 weeks. References table eRVRCodes in national HCV dataset.,,,,,,,,,
NHIC_HEP_238,Treatment,,TreatmentOutcome,Outcome of treatment. References table TreatmentOutcomeCodes in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_239,Treatment,,SideEffects,List of side effects - free text but with insertion from list (SideEffectsCode),Nvarchar(100),,,,,,,,
NHIC_HEP_240,Treatment,,PreTreatmentViralLoad,"Pre-treatment viral load. Validation range 30 < PTVL < 13,000,000. Reported as e.g. 13,000,000 or 1.3x104  or 1.3^4. Need a UI which accepts all three formats. Value of 1 = PTVL not available/not tested",Int,,,,,,,,
NHIC_HEP_241,Treatment,,TreatmentSettingCode,Treatment Setting. References table TreatmentSettings in national HCV dataset.,Nchar(1),,,,,,,,
NHIC_HEP_242,Treatment,,Treatment Notes,Free text notes,Nvarchar(50),,,,,,,,
NHIC_HEP_243,Treatment,,HBV DNA suppression 1yr after start,,Y/N,,,,,,,,
NHIC_HEP_244,Treatment,,eAg loss,,Y/N,,,,,,,,
NHIC_HEP_245,Treatment,,eAb seroconversion,,Y/N,,,,,,,,
NHIC_HEP_246,Treatment,,sAg loss,,Y/N,,,,,,,,
NHIC_HEP_247,Treatment,,sAb seroconversion,,Y/N,,,,,,,,
NHIC_HEP_248,Treatment,,HDV,,,,,,,,,,
NHIC_HEP_249,Treatment,,HDV RNA clearance**,,Y/N,,,,,,,,
NHIC_HEP_250,Treatment,,HDV RNA sustained response***,,Y/N,,,,,,,,
NHIC_HEP_251,Treatment,,HBsAg loss ,,Y/N,,,,,,,,
NHIC_HEP_252,Treatment,,AI response,,,,,,,,,,
NHIC_HEP_253,Pregnancy,Demographics,Date of conception,,,,,,,,,,
NHIC_HEP_254,Pregnancy,Demographics,Date of delivery,,,,,,,,,,
NHIC_HEP_255,Pregnancy,Demographics,Country of origin,,,,,,,,,,
NHIC_HEP_256,Pregnancy,Demographics,Ethnicity,,,,,,,,,,
NHIC_HEP_257,Pregnancy,Demographics,Born in UK,,Y/N,,,,,,,,
NHIC_HEP_258,Pregnancy,Demographics,Years in UK,,numeric,,,,,,,,
NHIC_HEP_259,Pregnancy,Demographics,Is english first language,,Y/N,,,,,,,,
NHIC_HEP_260,Pregnancy,Demographics,fluency,,,,,,,,,,
NHIC_HEP_261,Pregnancy,Demographics,Parity,,,,,,,,,,
NHIC_HEP_262,Pregnancy,Delivery,CS ,,Y/N,,,,,,,,
NHIC_HEP_263,Pregnancy,Delivery,Interventions,,,,,,,,,,
NHIC_HEP_264,Pregnancy,Delivery,FSE,,,,,,,,,,
NHIC_HEP_265,Pregnancy,Delivery,FBS,,,,,,,,,,
NHIC_HEP_266,Pregnancy,Outcome,Live birth?,,,,,,,,,,
NHIC_HEP_267,Pregnancy,Outcome,Miscarriage?,,,,,,,,,,
NHIC_HEP_268,Pregnancy,Outcome,Top?,,,,,,,,,,
NHIC_HEP_269,Pregnancy,Pre pregnancy status,Known HBV pre pregnancy,,,,,,,,,,
NHIC_HEP_270,Pregnancy,Pre pregnancy status,Known HCV  pre pregnancy,,,,,,,,,,
NHIC_HEP_271,Pregnancy,Pre pregnancy status,Known HIV  pre pregnancy,,,,,,,,,,
NHIC_HEP_272,Pregnancy,Woman FU,Woman FU,,Y/N,,,,,,,,
NHIC_HEP_273,Pregnancy,Outcome Baby,HCV RNA birth,,,,,,,,,,
NHIC_HEP_274,Pregnancy,Outcome Baby,HCV RNA at 1 year,,,,,,,,,,
NHIC_HEP_275,Pregnancy,Outcome Baby,HCV Infected Y/N,,,,,,,,,,
NHIC_HEP_276,Pregnancy,Outcome Baby,HBV Vaccination birth,,,,,,,,,,
NHIC_HEP_277,Pregnancy,Outcome Baby,Where is vaccination organised? ,,,,,,,,,,
NHIC_HEP_278,Pregnancy,Outcome Baby,Hospital ,,,,,,,,,,
NHIC_HEP_279,Pregnancy,Outcome Baby,GP,,,,,,,,,,
NHIC_HEP_280,Pregnancy,Outcome Baby,Community Centre,,,,,,,,,,
NHIC_HEP_281,Pregnancy,Outcome Baby,HBIG indicated,,,,,,,,,,
NHIC_HEP_282,Pregnancy,Outcome Baby,HBIG received,,,,,,,,,,
NHIC_HEP_283,Pregnancy,Outcome Baby,Vaccination 1month,,,,,,,,,,
NHIC_HEP_284,Pregnancy,Outcome Baby,Vaccination 2months,,,,,,,,,,
NHIC_HEP_285,Pregnancy,Outcome Baby,Vaccination 12months,,,,,,,,,,
NHIC_HEP_286,Pregnancy,Outcome Baby,HBsAg,,,,,,,,,,
NHIC_HEP_287,Pregnancy,Outcome Baby,HBsAb,,,,,,,,,,
NHIC_HEP_288,Pregnancy,Diagnosis during  pregnancy,Date of screen,,,,,,,,,,
NHIC_HEP_289,Pregnancy,Diagnosis during  pregnancy,HBV Identified at screening during pregnancy,indicates whether patient diagnosed in pregnancy or was known,Y/N,,,,,,,,
NHIC_HEP_290,Pregnancy,Diagnosis during  pregnancy,HDV identified at screening during pregnancy,,,,,,,,,,
NHIC_HEP_291,Pregnancy,Diagnosis during  pregnancy,HDV identified at screening during pregnancy,,,,,,,,,,
NHIC_HEP_292,Pregnancy,Diagnosis during  pregnancy,HCV Ab  identified at screening during pregnancy,,,,,,,,,,
NHIC_HEP_293,Pregnancy,Diagnosis during  pregnancy,HCV RNA  identified at screening during pregnancy,,,,,,,,,,
NHIC_HEP_294,Pregnancy,Diagnosis during  pregnancy,HCV Genotype  identified at screening during pregnancy,,,,,,,,,,
NHIC_HEP_295,Pregnancy,Diagnosis during  pregnancy,HIV identified at sceening during pregnancy,,,,,,,,,,
NHIC_HEP_296,Pregnancy,Antivirals,Did woman conceive on treatment,,,,,,,,,,
NHIC_HEP_297,Pregnancy,Antivirals,Did woman discontinue when pregnant,,,,,,,,,,
NHIC_HEP_298,Pregnancy,Antivirals,Treated for transmission,,,,,,,,,,
NHIC_HEP_299,Pregnancy,Antivirals,GA when treatment started,,,,,,,,,,
NHIC_HEP_300,Pregnancy,Antivirals,Date treatment stopped,,,,,,,,,,
NHIC_HEP_301,Pregnancy,Antivirals,Antiviral treatment at screening during pregnancy,,,,,,,,,,
NHIC_HEP_302,Pregnancy,Antivirals,Drug treatment during pregnancy,,,,,,,,,,
NHIC_HEP_303,Pregnancy,Antivirals,Antiviral therapy,,,,,,,,,,
NHIC_HEP_304,Pregnancy,Antivirals,Treated for AI hepatitis ,,,,,,,,,,
NHIC_HEP_305,Pregnancy,Drug Toxicity,Had to discontinue ?,,,,,,,,,,
NHIC_HEP_306,Acute hepatitis,Presenting symptoms,Jaundice?,,,,,,,,,,
NHIC_HEP_307,Acute hepatitis,Presenting symptoms,Malais?,,,,,,,,,,
NHIC_HEP_308,Acute hepatitis,Presenting symptoms,Other presentig symptoms?,,,,,,,,,,
NHIC_HEP_309,Acute hepatitis,Labs,ALT,,,,,,,,,,
NHIC_HEP_310,Acute hepatitis,Labs,AST,,,,,,,,,,
NHIC_HEP_311,Acute hepatitis,Labs,Alb,,,,,,,,,,
NHIC_HEP_312,Acute hepatitis,Labs,Bili,,,,,,,,,,
NHIC_HEP_313,Acute hepatitis,Labs,INR,,,,,,,,,,
NHIC_HEP_314,Acute hepatitis,Labs,PLT,,,,,,,,,,
NHIC_HEP_315,Acute hepatitis,Viral screen,HAV IgM,,,,,,,,,,
NHIC_HEP_316,Acute hepatitis,Viral screen,HAV Total,,,,,,,,,,
NHIC_HEP_317,Acute hepatitis,Viral screen,HBsAg,,,,,,,,,,
NHIC_HEP_318,Acute hepatitis,Viral screen,HBcIgM,,,,,,,,,,
NHIC_HEP_319,Acute hepatitis,Viral screen,HBeAg,,,,,,,,,,
NHIC_HEP_320,Acute hepatitis,Viral screen,HBeAb,,,,,,,,,,
NHIC_HEP_321,Acute hepatitis,Viral screen,HBsAb,,,,,,,,,,
NHIC_HEP_322,Acute hepatitis,Viral screen,HBV DNA,,,,,,,,,,
NHIC_HEP_323,Acute hepatitis,Viral screen,HCV Ab,,,,,,,,,,
NHIC_HEP_324,Acute hepatitis,Viral screen,HCV RNA,,,,,,,,,,
NHIC_HEP_325,Acute hepatitis,Viral screen,HCV Gen,,,,,,,,,,
NHIC_HEP_326,Acute hepatitis,Viral screen,HEV IgM ,,,,,,,,,,
NHIC_HEP_327,Acute hepatitis,Viral screen,HEV IgG,,,,,,,,,,
NHIC_HEP_328,Acute hepatitis,Viral screen,HEV RNA,,,,,,,,,,
NHIC_HEP_329,Acute hepatitis,Viral screen,HEV Gen,,,,,,,,,,
NHIC_HEP_330,Acute hepatitis,Viral screen,EBV VCA IgM ,,,,,,,,,,
NHIC_HEP_331,Acute hepatitis,Viral screen,EBV VCA IgG,,,,,,,,,,
NHIC_HEP_332,Acute hepatitis,Viral screen,EBV EBNA IgG,,,,,,,,,,
NHIC_HEP_333,Acute hepatitis,Viral screen,CMV IgM ,,,,,,,,,,
NHIC_HEP_334,Acute hepatitis,Viral screen,CMV IgG,,,,,,,,,,
NHIC_HEP_335,Acute hepatitis,Medication,Medications,,,,,,,,,,
NHIC_HEP_336,Acute hepatitis,Alcohol,Alcohol?,,,,,,,,,,
NHIC_HEP_337,Acute hepatitis,Autoimmune hepatitis ,Autoimmune hepatitis?,,,,,,,,,,
NHIC_HEP_338,Acute hepatitis,Other liver ,Haemochromatosis?,,,,,,,,,,
NHIC_HEP_339,Acute hepatitis,Other liver ,A-1-AT?,,,,,,,,,,
NHIC_HEP_340,Acute hepatitis,Other liver ,Wilson's?,,,,,,,,,,
NHIC_HEP_341,Acute hepatitis,Other,Haemolysis?,,,,,,,,,,
NHIC_HEP_342,Acute hepatitis,Other,Thyroid?,,,,,,,,,,
NHIC_HEP_343,Acute hepatitis,Other,Other condition?,,,,,,,,,,
