Data item No.,Section,Subsection,Data Item Name,Data Item Description,Value domain,Data Dictionary Element,Notes,"[Optional]
Local identifier","A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? "
NHIC_ICU_215,Drugs, Analgo/Sedation,Chlorpromazine - quantity/hr,Chlorpromazine quantity/hr  Recorded daily.,,,,,,,,,
NHIC_ICU_216,Drugs,Relaxants,Rocuronium - start time and date,Rocuronium start time and date. ,,,,,,,,,
NHIC_ICU_217,Drugs,Relaxants,Rocuronium - finish time and date,Rocuronium finish time and date. ,,,,,,,,,
NHIC_ICU_218,Drugs,Relaxants,Rocuronium - quantity/hr,Rocuronium quantity/hr ,,,,,,,,,
NHIC_ICU_219,Drugs,Relaxants,Atracurium - start time and date,Atracurium start time and date. ,,,,,,,,,
NHIC_ICU_220,Drugs,Relaxants,Atracurium - finish time and date,Atracurium finish time and date. ,,,,,,,,,
NHIC_ICU_221,Drugs,Relaxants,Atracurium - quantity/hr,Atracurium quantity/hr ,,,,,,,,,
NHIC_ICU_222,Drugs,Relaxants,Vecuronium - start time and date,Vecuronium start time and date. ,,,,,,,,,
NHIC_ICU_223,Drugs,Relaxants,Vecuronium - finish time and date,Vecuronium finish time and date. ,,,,,,,,,
NHIC_ICU_224,Drugs,Relaxants,Vecuronium - quantity/hr,Vecuronium quantity/hr ,,,,,,,,,
NHIC_ICU_225,Drugs,Relaxants,Pancuronium - start time and date,Pancuronium start time and date. ,,,,,,,,,
NHIC_ICU_226,Drugs,Relaxants,Pancuronium - finish time and date,Pancuronium finish time and date. ,,,,,,,,,
NHIC_ICU_227,Drugs,Relaxants,Pancuronium - quantity/hr,Pancuronium quantity/hr ,,,,,,,,,
NHIC_ICU_228,Drugs,Relaxants,Cis-atracurium - start time and date,Cis-atracurium start time and date. ,,,,,,,,,
NHIC_ICU_229,Drugs,Relaxants,Cis-atracurium - finish time and date,Cis-atracurium finish time and date. ,,,,,,,,,
NHIC_ICU_230,Drugs,Relaxants,Cis-atracurium - quantity/hr,Cis-atracurium quantity/hr ,,,,,,,,,
NHIC_ICU_231,Drugs,Antibiotics (parenteral),Co-amoxiclav - dose,Co-amoxiclav dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_232,Drugs,Antibiotics (parenteral),Co-amoxiclav - frequency,Co-amoxiclav frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_233,Drugs,Antibiotics (parenteral),Co-amoxiclav - start time and date,Co-amoxiclav start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_234,Drugs,Antibiotics (parenteral),Co-amoxiclav - finish time and date,Co-amoxiclav finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_235,Drugs,Antibiotics (parenteral),Piptazobactam - dose,Piptazobactam dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_236,Drugs,Antibiotics (parenteral),Piptazobactam - frequency,Piptazobactam frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_237,Drugs,Antibiotics (parenteral),Piptazobactam - start time and date,Piptazobactam start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_238,Drugs,Antibiotics (parenteral),Piptazobactam - finish time and date,Piptazobactam finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_239,Drugs,Antibiotics (parenteral),Cefuroxime - dose,Cefuroxime dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_240,Drugs,Antibiotics (parenteral),Cefuroxime - frequency,Cefuroxime frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_241,Drugs,Antibiotics (parenteral),Cefuroxime - start time and date,Cefuroxime start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_242,Drugs,Antibiotics (parenteral),Cefuroxime - finish time and date,Cefuroxime finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_243,Drugs,Antibiotics (parenteral),Ceftazadime - dose,Ceftazadime dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_244,Drugs,Antibiotics (parenteral),Ceftazadime - frequency,Ceftazadime frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_245,Drugs,Antibiotics (parenteral),Ceftazadime - start time and date,Ceftazadime start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_246,Drugs,Antibiotics (parenteral),Ceftazadime - finish time and date,Ceftazadime finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_247,Drugs,Antibiotics (parenteral),Cefotaxime - dose,Cefotaxime dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_248,Drugs,Antibiotics (parenteral),Cefotaxime - frequency,Cefotaxime frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_249,Drugs,Antibiotics (parenteral),Cefotaxime - start time and date,Cefotaxime start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_250,Drugs,Antibiotics (parenteral),Cefotaxime - finish time and date,Cefotaxime finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_251,Drugs,Antibiotics (parenteral),Benzylpenicillin - dose,Benzylpenicillin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_252,Drugs,Antibiotics (parenteral),Benzylpenicillin - frequency,Benzylpenicillin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_253,Drugs,Antibiotics (parenteral),Benzylpenicillin - start time and date,Benzylpenicillin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_254,Drugs,Antibiotics (parenteral),Benzylpenicillin - finish time and date,Benzylpenicillin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_255,Drugs,Antibiotics (parenteral),Flucloxacillin - dose,Flucloxacillin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_256,Drugs,Antibiotics (parenteral),Flucloxacillin - frequency,Flucloxacillin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_257,Drugs,Antibiotics (parenteral),Flucloxacillin - start time and date,Flucloxacillin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_258,Drugs,Antibiotics (parenteral),Flucloxacillin - finish time and date,Flucloxacillin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_259,Drugs,Antibiotics (parenteral),Clindamycin - dose,Clindamycin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_260,Drugs,Antibiotics (parenteral),Clindamycin - frequency,Clindamycin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_261,Drugs,Antibiotics (parenteral),Clindamycin - start time and date,Clindamycin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_262,Drugs,Antibiotics (parenteral),Clindamycin - finish time and date,Clindamycin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_263,Drugs,Antibiotics (parenteral),Gentamicin - dose,Gentamicin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_264,Drugs,Antibiotics (parenteral),Gentamicin - frequency,Gentamicin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_265,Drugs,Antibiotics (parenteral),Gentamicin - start time and date,Gentamicin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_266,Drugs,Antibiotics (parenteral),Gentamicin - finish time and date,Gentamicin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_267,Drugs,Antibiotics (parenteral),Metronidazole - dose,Metronidazole dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_268,Drugs,Antibiotics (parenteral),Metronidazole - frequency,Metronidazole frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_269,Drugs,Antibiotics (parenteral),Metronidazole - start time and date,Metronidazole start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_270,Drugs,Antibiotics (parenteral),Metronidazole - finish time and date,Metronidazole finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_271,Drugs,Antibiotics (parenteral),Meropenem - dose,Meropenem dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_272,Drugs,Antibiotics (parenteral),Meropenem - frequency,Meropenem frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_273,Drugs,Antibiotics (parenteral),Meropenem - start time and date,Meropenem start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_274,Drugs,Antibiotics (parenteral),Meropenem - finish time and date,Meropenem finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_275,Drugs,Antibiotics (parenteral),Imipenem - dose,Imipenem dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_276,Drugs,Antibiotics (parenteral),Imipenem - frequency,Imipenem frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_277,Drugs,Antibiotics (parenteral),Imipenem - start time and date,Imipenem start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_278,Drugs,Antibiotics (parenteral),Imipenem - finish time and date,Imipenem finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_279,Drugs,Antibiotics (parenteral),Anidulafungin - dose,Anidulafungin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_280,Drugs,Antibiotics (parenteral),Anidulafungin - frequency,Anidulafungin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_281,Drugs,Antibiotics (parenteral),Anidulafungin - start time and date,Anidulafungin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_282,Drugs,Antibiotics (parenteral),Anidulafungin - finish time and date,Anidulafungin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_283,Drugs,Antibiotics (parenteral),Amikacin - dose,Amikacin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_284,Drugs,Antibiotics (parenteral),Amikacin - frequency,Amikacin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_285,Drugs,Antibiotics (parenteral),Amikacin - start time and date,Amikacin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_286,Drugs,Antibiotics (parenteral),Amikacin - finish time and date,Amikacin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_287,Drugs,Antibiotics (parenteral),Colistin - dose,Colistin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_288,Drugs,Antibiotics (parenteral),Colistin - frequency,Colistin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_289,Drugs,Antibiotics (parenteral),Colistin - start time and date,Colistin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_290,Drugs,Antibiotics (parenteral),Colistin - finish time and date,Colistin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_291,Drugs,Antibiotics (parenteral),Ciprofloxacin - dose,Ciprofloxacin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_292,Drugs,Antibiotics (parenteral),Ciprofloxacin - frequency,Ciprofloxacin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_293,Drugs,Antibiotics (parenteral),Ciprofloxacin - start time and date,Ciprofloxacin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_294,Drugs,Antibiotics (parenteral),Ciprofloxacin - finish time and date,Ciprofloxacin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_295,Drugs,Antibiotics (parenteral),Fluconazole - dose,Fluconazole dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_296,Drugs,Antibiotics (parenteral),Fluconazole - frequency,Fluconazole frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_297,Drugs,Antibiotics (parenteral),Fluconazole - start time and date,Fluconazole start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_298,Drugs,Antibiotics (parenteral),Fluconazole - finish time and date,Fluconazole finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_299,Drugs,Antibiotics (parenteral),Amphoteracin - dose,Amphoteracin dose. ,,,,,,,,,
NHIC_ICU_300,Drugs,Antibiotics (parenteral),Amphoteracin - frequency,Amphoteracin frequency. ,,,,,,,,,
NHIC_ICU_301,Drugs,Antibiotics (parenteral),Amphoteracin - start time and date,Amphoteracin start time and date. ,,,,,,,,,
NHIC_ICU_302,Drugs,Antibiotics (parenteral),Amphoteracin - finish time and date,Amphoteracin finish time and date. ,,,,,,,,,
NHIC_ICU_303,Drugs,Antibiotics (parenteral),Amphoteracin [liposomal] - dose,Amphoteracin [liposomal] dose. ,,,,,,,,,
NHIC_ICU_304,Drugs,Antibiotics (parenteral),Amphoteracin [liposomal] - frequency,Amphoteracin [liposomal] frequency. ,,,,,,,,,
NHIC_ICU_305,Drugs,Antibiotics (parenteral),Amphoteracin [liposomal] - start time and date,Amphoteracin [liposomal] start time and date. ,,,,,,,,,
NHIC_ICU_306,Drugs,Antibiotics (parenteral),Amphoteracin [liposomal] - finish time and date,Amphoteracin [liposomal] finish time and date. ,,,,,,,,,
NHIC_ICU_307,Drugs,Antibiotics (parenteral),Caspofungin - dose,Caspofungin dose.  Recorded daily.,,,,,,,,,
NHIC_ICU_308,Drugs,Antibiotics (parenteral),Caspofungin - frequency,Caspofungin frequency.  Recorded daily.,,,,,,,,,
NHIC_ICU_309,Drugs,Antibiotics (parenteral),Caspofungin - start time and date,Caspofungin start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_310,Drugs,Antibiotics (parenteral),Caspofungin - finish time and date,Caspofungin finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_311,Drugs,Antibiotics (parenteral),Aciclovir - dose,Aciclovir dose. ,,,,,,,,,
NHIC_ICU_312,Drugs,Antibiotics (parenteral),Aciclovir - frequency,Aciclovir frequency. ,,,,,,,,,
NHIC_ICU_313,Drugs,Antibiotics (parenteral),Aciclovir - start time and date,Aciclovir start time and date. ,,,,,,,,,
NHIC_ICU_314,Drugs,Antibiotics (parenteral),Aciclovir - finish time and date,Aciclovir finish time and date. ,,,,,,,,,
NHIC_ICU_315,Drugs,Antibiotics (parenteral),Zanamavir - dose,Zanamavir dose. ,,,,,,,,,
NHIC_ICU_316,Drugs,Antibiotics (parenteral),Zanamavir - frequency,Zanamavir frequency. ,,,,,,,,,
NHIC_ICU_317,Drugs,Antibiotics (parenteral),Zanamavir - start time and date,Zanamavir start time and date. ,,,,,,,,,
NHIC_ICU_318,Drugs,Antibiotics (parenteral),Zanamavir - finish time and date,Zanamavir finish time and date. ,,,,,,,,,
NHIC_ICU_319,Drugs,Antibiotics (parenteral),Ostelamavir - dose,Ostelamavir dose. ,,,,,,,,,
NHIC_ICU_320,Drugs,Antibiotics (parenteral),Ostelamavir - frequency,Ostelamavir frequency. ,,,,,,,,,
NHIC_ICU_321,Drugs,Antibiotics (parenteral),Ostelamavir - start time and date,Ostelamavir start time and date. ,,,,,,,,,
NHIC_ICU_322,Drugs,Antibiotics (parenteral),Ostelamavir - finish time and date,Ostelamavir finish time and date. ,,,,,,,,,
NHIC_ICU_323,Metbolic/Endocrine,Antibiotics (parenteral),Insulin infusion - start time and date,Insulin infusion start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_324,Metbolic/Endocrine,,Insulin infusion - finish time and date,Insulin infusion finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_325,Metbolic/Endocrine,,Insulin infusion - quantity/day,Insulin infusion quantity/day  Recorded daily.,,,,,,,,,
NHIC_ICU_326,Metbolic/Endocrine,,Insulin intermittent - start time and date,Insulin intermittent start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_327,Metbolic/Endocrine,,Insulin intermittent - finish time and date,Insulin intermittent finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_328,Metbolic/Endocrine,,Insulin intermittent - quantity/day,Insulin intermittent quantity/day  Recorded daily.,,,,,,,,,
NHIC_ICU_329,Metbolic/Endocrine,,Steroids - start time and date,Steroids start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_330,Metbolic/Endocrine,,Steroids - finish time and date,Steroids finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_331,Metbolic/Endocrine,,Steroids - quantity/day,Steroids quantity/day  Recorded daily.,,,,,,,,,
NHIC_ICU_332,Metbolic/Endocrine,,Pro-kinetics - start time and date,Pro-kinetics start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_333,Metbolic/Endocrine,,Pro-kinetics - finish time and date,Pro-kinetics finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_334,Metbolic/Endocrine,,Pro-kinetics - quantity/day,Pro-kinetics quantity/day  Recorded daily.,,,,,,,,,
NHIC_ICU_335,Metbolic/Endocrine,,TPN - start time and date,TPN start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_336,Metbolic/Endocrine,,TPN - finish time and date,TPN finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_337,Metbolic/Endocrine,,TPN - ml/h,TPN ml/h  Recorded daily.,,,,,,,,,
NHIC_ICU_338,Metbolic/Endocrine,,Enteral feed - start time and date,Enteral feed start time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_339,Metbolic/Endocrine,,Enteral feed - finish time and date,Enteral feed finish time and date.  Recorded daily.,,,,,,,,,
NHIC_ICU_340,Metbolic/Endocrine,,Enteral feed - ml/h,Enteral feed ml/h  Recorded daily.,,,,,,,,,
NHIC_ICU_341,Fluid,,Gelatin - start time and date,Gelatin start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_342,Fluid,,Gelatin - finish time and date,Gelatin finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_343,Fluid,,Gelatin - ml/h,Gelatin ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_344,Fluid,,Starch - start time and date,Starch start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_345,Fluid,,Starch - finish time and date,Starch finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_346,Fluid,,Starch - ml/h,Starch ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_347,Fluid,,N saline - start time and date,N saline start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_348,Fluid,,N saline - finish time and date,N saline finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_349,Fluid,,N saline - ml/h,N saline ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_350,Fluid,,3% saline - start time and date,3% saline start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_351,Fluid,,3% saline - finish time and date,3% saline finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_352,Fluid,,3% saline - ml/h,3% saline ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_353,Fluid,,5% glucose - start time and date,5% glucose start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_354,Fluid,,5% glucose - finish time and date,5% glucose finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_355,Fluid,,5% glucose - ml/h,5% glucose ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_356,Fluid,,10% glucose - start time and date,10% glucose start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_357,Fluid,,10% glucose - finish time and date,10% glucose finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_358,Fluid,,10% glucose - ml/h,10% glucose ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_359,Fluid,,20% glucose - start time and date,20% glucose start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_360,Fluid,,20% glucose - finish time and date,20% glucose finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_361,Fluid,,20% glucose - ml/h,20% glucose ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_362,Fluid,,50% glucose - start time and date,50% glucose start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_363,Fluid,,50% glucose - finish time and date,50% glucose finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_364,Fluid,,50% glucose - ml/h,50% glucose ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_365,Fluid,,Enteral water - start time and date,Enteral water start time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_366,Fluid,,Enteral water - finish time and date,Enteral water finish time and date.  Recorded ml/h.,,,,,,,,,
NHIC_ICU_367,Fluid,,Enteral water - ml/h,Enteral water ml/h  Recorded ml/h.,,,,,,,,,
NHIC_ICU_368,Blood products,,Packed cells - start time and date,Packed cells start time and date. ,,,,,,,,,
NHIC_ICU_369,Blood products,,Packed cells - finish time and date,Packed cells finish time and date. ,,,,,,,,,
NHIC_ICU_370,Blood products,,Packed cells - quantity/hr,Packed cells quantity/hr ,,,,,,,,,
NHIC_ICU_371,Blood products,,Platelets - start time and date,Platelets start time and date. ,,,,,,,,,
NHIC_ICU_372,Blood products,,Platelets - finish time and date,Platelets finish time and date. ,,,,,,,,,
NHIC_ICU_373,Blood products,,Platelets - quantity/hr,Platelets quantity/hr ,,,,,,,,,
NHIC_ICU_374,Blood products,,Fresh frozen plasma - start time and date,Fresh frozen plasma start time and date. ,,,,,,,,,
NHIC_ICU_375,Blood products,,Fresh frozen plasma - finish time and date,Fresh frozen plasma finish time and date. ,,,,,,,,,
NHIC_ICU_376,Blood products,,Fresh frozen plasma - quantity/hr,Fresh frozen plasma quantity/hr ,,,,,,,,,
NHIC_ICU_377,Blood products,,Cryoprecipitate - start time and date,Cryoprecipitate start time and date. ,,,,,,,,,
NHIC_ICU_378,Blood products,,Cryoprecipitate - finish time and date,Cryoprecipitate finish time and date. ,,,,,,,,,
NHIC_ICU_379,Blood products,,Cryoprecipitate - quantity/hr,Cryoprecipitate quantity/hr ,,,,,,,,,
NHIC_ICU_380,Blood products,,Prothrombin complex - start time and date,Prothrombin complex start time and date. ,,,,,,,,,
NHIC_ICU_381,Blood products,,Prothrombin complex - finish time and date,Prothrombin complex finish time and date. ,,,,,,,,,
NHIC_ICU_382,Blood products,,Prothrombin complex - quantity/hr,Prothrombin complex quantity/hr ,,,,,,,,,
NHIC_ICU_383,Outcomes,,Disease coding,,,,,,,,,,
NHIC_ICU_384,Outcomes,,Admission severity of illness,,,,,,,,,,
NHIC_ICU_385,Outcomes,,Ongoing organ support whilst on critical care,,,,,,,,,,
NHIC_ICU_386,Outcomes,,ICU length of stay,,,,,,,,,,
NHIC_ICU_387,Outcomes,,Hospital Length of stay,,,,,,,,,,
NHIC_ICU_388,Outcomes,,Hospital Readmissions,,,,,,,,,,
NHIC_ICU_389,Outcomes,,Hospital Length of stay,,,,,,,,,,
NHIC_ICU_390,Outcomes,,Speciality,,,,,,,,,,
NHIC_ICU_391,Outcomes,,ICU readmissions,,,,,,,,,,
NHIC_ICU_392,Outcomes,,ICU readmission length of stay,,,,,,,,,,
NHIC_ICU_393,Outcomes,,Operation,,,,,,,,,,
NHIC_ICU_394,Outcomes,,Death,Date of death,,,,,,,,,
