Data item No.,Section,Sub-section,Data Item Name,Data Item Description,National Code,Data Dictionary Element,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_ACS_53,CORE,DIAGNOSIS,FINAL DIAGNOSIS OF THE ADMISSION EVENT,"Indicate the FINAL DIAGNOSIS OF THE ADMISSION EVENT.  This is the diagnosis of the event that led to admission.  For example, if a PERSON was admitted with rest pain and have negative biomarkers and then on day 3 developed recurrent pain and it was determined that MI had occurred , the event propmpting admission should be coded as ""unstable angina"".","1 : Myocardial Infarction:  Detection of a ³20% rise and/or fall of a serum biomarker (preferably troponin) with a least one value above the 99th percentile with at least one of the following: i. symptoms of ischaemia ii. New or presumed new significant ST-T changes or LBBB iii. Development of pathological Q eaves on the ECG iv. Imaging evidence of new loss of viable myocardium or new regional wall motion abnormality v. identification of intracoronary thrombus at angiography or autopsy
1a : ST-Elevation Myocardial Infarction: There is cardiac biomarker evidence of myocardial necrosis and new/presumed new ST-segment elevation or LBBB on the admission ECG
1b : Non-ST-elevation Myocardial Infarction: as per definition of MI but no ST-elevation or equivalents
1c : Type 2 MI: as per definition of MI but yocardial necrosis thoght to be due to imbalance between oxygen supply and demand
1d : Type 3 MI: symptoms suggestive of cardiac ischaemia but death occurred before biomarkers could be measured or before levels would be expected to increase
1e : Type 4 MI: PCI-related MI (biomarker levels 5x99th percentile) or in stent thrombosis 
1f : Type 5 MI: CABG-related MI (biomarkers >10x 99th percentile) plus either new Q waves or new LBBB, or angiographically documented new graft or new native coronary artery occlusion, or imaging evidence of new RWMA
3 : Unstable Angina: 1. ischameic discomfort ³10min duration occuring at rest or in an accelerating pattern with frequent episodes associated with progressively decreased activity 2. prompting an unscheduled hospital admission within 24h of the most recent symptoms (at least 24h stay in hospital) 3. At least one of the following a) New or worsening ST changes on the resting ECG (in the absence of confounders such as LVH, LBBB) including transient ST-segment elevation <20min, ST-depression and T-wave changes (previously defined) b) Deifinite evidence of inducible myocardial ischamia demonstrated by i. an early positive exercise stress test, defined as ST elevation or ST depression ³2mm prior to 5METS ii. myocardial scintography or MRI perfusion defect  believed to be responsible for ischaemic symptoms c) Angiographic evidence of new or worse ³70% lesion and/or thrombus in an epicardial coronary artery that is believed to be responsible for ischaemic symptoms d) need for CABG for the presumed culprit lesions (before discharge home) 4. Negative biomarkers 
4 : Stable coronary artery disease: the PERSON  has a clinical diagnosis or prior history of CAD, but after evaluation in hospital, the episode of discomfort was not thought tho have represented unstable angina
5 : Non-cardiac chest pain: Pain in the chest, neck, arms, or abdomen (or other clinical manifestations) not clearly exertional or otherwise consistent with  discomfort of myocardial ischaemic origin
Z : Unable to classifiy at follow-up
X : Not cardiac (for readmission)
",,CR1280,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_54,CORE,OUTCOME,DEATH CAUSE IDENTIFICATION METHOD,The source of information from which the cause of death was established.,"0 : No
1 : Yes
",,CR1310,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_55,CORE,OUTCOME,RECURRENT ISCHAEMIC EVENT,Indicate if there was a RECURRENT ISCHAEMIC EVENT between DATE/TIME OF FRIST PRESENTAION TO HEALTHCARE PROVIDER and DATE OF DISCHARGE,"0 : No
1 : Yes
",,CR1320,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_56,CORE,OUTCOME,CARDIOGENIC SHOCK,Indicate if the PERSON developed CARDIOGENIC SHOCK between DATE/TIME OF FRIST PRESENTAION TO HEALTHCARE PROVIDER and DATE OF DISCHARGE.. CARDIOGENIC SHOCK is defined as >30 min episode of systolic blood pressure <90mmHg and/or cardiac index <2.2L/min per square meter determined to be secondary to cardiac dysfunction and/or the requirement for parenteral inotropic or vasopressor agents or mechanical support e.g. IABP to maintain blood pressure and cardiac index above the specified levels,"0 : No
1 : Yes
",,CR1340,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_57,CORE,OUTCOME,STROKE,"Indicate if the PERSON developed STROKE. Stroke is defined as an acute episode of neurological dysfunction caused by focal or global brain, spinal cord, or retinal vascular injury as a result of haemorrhage or infarction","0 : No
1 : Yes
",,CR1350,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_58,CORE,OUTCOME,TYPE OF STROKE,"If present, record the type of STROKE","A  : Ischaemic stroke
B  : Intracerebral haemorrhage
C  : Subarrachnoid haemorrhage
X : Unknown type
",,CR1370,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_59,CORE,OUTCOME,BLEEDING EVENT,Indicate if the PERSON had a BLEEDING EVENT that occured betwen TIME/DATE OF FIRST PRESENTATION TO HEALTHCARE PROVIDER and DATE OF DISCHARGEaccording to the criteria set out by the Bleeding Academic Research Consortium,"0 : 
1 : dies, hospitalisation, or treatment by a healthcare professional; may include episodes leading to self-discontiuation of medical therapy by the patient without consulting a healthcare professional
2 : Any overt, actionable sign of haemorrhage (e.g. More bleeding than would be expected for a clinical circumstance, including bleeding found by imaging alone) that does not fit the criteria for type 3, 4, or 5 but does meet at least one of the following criteria 1. requiring nonsurgical, medical intervention by a healthcare professional 2. leading to hospitalisation or increased level of care or 3. prompting evaluation
3a : Overt bleeding plus haemoglobin drop of 3 to <5 g/dL (provided haemoglobin drop is elated to bleed) or any transfusion with overt bleeding
3b : Overt bleeding plus haemoglobin drop ³5g/dL (provided haemoglobin drop is related to bleed)/cardiac tamponade/bleeding requiring surgical intervention for control/bleeeding requiring intravenous vascoactive agents
3c : Intracranial haemorrhage (does not include microbleeds or haemorrhagic transformation, does include inrtraspinal)/subcaegories confirmed by autopsy or imaging or lumbar puncture/intraocular bleeding compromising vision
4 : CABG-related bleeding: perioperative intacranial bleed within 48h/reoperation after closure of sternotomy for the purpose of controlling bleeding/transfusion ³5 U whole blood or packed red blood cells within a 48h period (exluding cell saver products)/chest tube output ³2L within a 24h period
5a : Probable fatal bleeding: no autopsy or imaging confirmation but clinically suspicious
5b : Definite fatal bleeding: overt bleeding or autopsy or imaging confirmation
",,CR1380,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_60,CORE,OUTCOME,LOCATION OF BLEEDING,Indicate the LOCATION OF BLEEDING if a BLEEDING EVENT occured betwen TIME/DATE OF FIRST PRESENTATION TO HEALTHCARE PROVIDER and DATE OF DISCHARGE,"1 : Access site
2 : Retroperitoneal
3 : GI
4 : GU
5 : Other
",,CR1390,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_61,CORE,DISCHARGE,DISCHARGE DESTINATION CODE,DISCHARGE DETINATION CODE (HOSPITAL PROVIDER SPELL) is the discharge destination,"19 : Usual place of residence
29 : Temporary place of residence
51 : NHS other hospital provider - ward for general patients
54 : NHS run care home
65 : Local authority residential accommondation
85 : Non-NHS run care home
87 : Non-NHS run hospital
88 : Non-NHS run hospice
",,CR1420,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_62,CORE,DISCHARGE,DISCHARGE STATUS,Indicate if the PERSON was alive or dead as of DATE OF DICHARGE,"1 : Alive
2 : Dead
",,CR1430,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_63,CORE,FOLLOW,READMISSION REASON,Indicate the READMISSION REASON,"1 : MI
2 : UA
3 : Angina (without MI)
4 : PCI
5 : CABG
6 : CHF (without MI)
7 : Arrhythmia or conduction disturbance (without MI)
8 : Sudden cardiac arrest
9 : Chest pain ultimately found to be non-cardiac in nature
10 : Stroke/other cardiovascular problem
11 : Non-cardiovascular problem
",,CR1450,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_64,CORE,FOLLOW UP,CARDIAC CATHETERISATION SINCE PREVIOUS ADMISSION,Indicate if the PERSON has had cardiac catheterisation (with or without revascularisation) procedure performed since DATE OF DISCHARGE,"0 : No
1 : Yes
",,CR1470,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_65,CORE,FOLLOW UP,PCI SINCE PREVIOUS ADMISSION,Indicate if the PERSON has had percutaenous coronary intervention (with or without revascularisation) procedure performed since DATE OF DISCHARGE,"0 : No
1 : Yes
",,CR1480,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_66,CORE,FOLLOW UP,CABG PREVIOUS ADMISSION,Indicate if the PERSON has had CABG (with or without revascularisation) procedure performed since DATE OF DISCHARGE,"0 : No
1 : Yes
",,CR1490,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_67,CORE,DEMOGRAPHICS,PERSON FAMILY NAME,"That part of a PERSON's name which is used to describe family, clan, tribal group, or marital association.","
",PERSON FAMILY NAME,CR0050,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_68,CORE,DEMOGRAPHICS,PERSON GIVEN NAME,The forename(s) or given name(s) of a PERSON.,"
",PERSON GIVEN NAME,CR0060,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_69,CORE,DEMOGRAPHICS,PATIENT USUAL ADDRESS (AT DIAGNOSIS),PATIENT USUAL ADDRESS (AT DIAGNOSIS) is the PATIENT USUAL ADDRESS of the PATIENT at the time of PATIENT DIAGNOSIS.,"
",PATIENT USUAL ADDRESS (AT DIAGNOSIS),CR0070,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_70,CORE,DEMOGRAPHICS,POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS),POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS) is the POSTCODE OF USUAL ADDRESS of the PATIENT at the time of PATIENT DIAGNOSIS.,"see POSTCODE
",POSTCODE OF USUAL ADDRESS (AT DIAGNOSIS),CR0080,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_71,CORE,DEMOGRAPHICS,GENERAL MEDICAL PRACTITIONER (SPECIFIED),"GENERAL MEDICAL PRACTITIONER (SPECIFIED) is the code of the GENERAL MEDICAL PRACTITIONER specified by the PATIENT.
This GENERAL MEDICAL PRACTITIONER works within the General Medical Practitioner Practice with which the PATIENT is registered.","
",GENERAL MEDICAL PRACTITIONER (SPECIFIED),CR0110,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_72,CORE,DEMOGRAPHICS,GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION),"The GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION) is an ORGANISATION CODE. This is the code of the GP Practice that the PATIENT is registered with.
","
",GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION),CR0120,1,1,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
NHIC_ACS_73,CORE,DEMOGRAPHICS,PERSON FAMILY NAME (AT BIRTH),The PATIENT's surname at birth. ,"
",PERSON FAMILY NAME (AT BIRTH),CR0140,4,4,3. Because for MINAP we don't put every single pt with ACS . Just the high risk pathway.,1,2
