Data item No.,Section,Sub-section,Data Item Name,Data Item Description,Value domain,Data Dictionary Element,"[Optional]
Local identifier","A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? "
NHIC_ICU_201,Drugs, Analgo/Sedation,Remifentanil - start time and date,Remifentanil start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_202,Drugs, Analgo/Sedation,Remifentanil - finish time and date,Remifentanil finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_203,Drugs, Analgo/Sedation,Remifentanil - quantity/hr,Remifentanil quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_204,Drugs, Analgo/Sedation,Clonidine - start time and date,Clonidine start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_205,Drugs, Analgo/Sedation,Clonidine - finish time and date,Clonidine finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_206,Drugs, Analgo/Sedation,Clonidine - quantity/hr,Clonidine quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_207,Drugs, Analgo/Sedation,Morphine - start time and date,Morphine start time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_208,Drugs, Analgo/Sedation,Morphine - finish time and date,Morphine finish time and date.  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_209,Drugs, Analgo/Sedation,Morphine - quantity/hr,Morphine quantity/hr  Recorded hourly.,,,,1,1,1,1,1
NHIC_ICU_210,Drugs, Analgo/Sedation,Haloperidol - start time and date,Haloperidol start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_211,Drugs, Analgo/Sedation,Haloperidol - finish time and date,Haloperidol finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_212,Drugs, Analgo/Sedation,Haloperidol - quantity/hr,Haloperidol quantity/hr  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_213,Drugs, Analgo/Sedation,Chlorpromazine - start time and date,Chlorpromazine start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_214,Drugs, Analgo/Sedation,Chlorpromazine - finish time and date,Chlorpromazine finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_215,Drugs, Analgo/Sedation,Chlorpromazine - quantity/hr,Chlorpromazine quantity/hr  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_216,Drugs,Relaxants,Rocuronium - start time and date,Rocuronium start time and date. ,,,,1,1,1,1,1
NHIC_ICU_217,Drugs,Relaxants,Rocuronium - finish time and date,Rocuronium finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_218,Drugs,Relaxants,Rocuronium - quantity/hr,Rocuronium quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_219,Drugs,Relaxants,Atracurium - start time and date,Atracurium start time and date. ,,,,1,1,1,1,1
NHIC_ICU_220,Drugs,Relaxants,Atracurium - finish time and date,Atracurium finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_221,Drugs,Relaxants,Atracurium - quantity/hr,Atracurium quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_222,Drugs,Relaxants,Vecuronium - start time and date,Vecuronium start time and date. ,,,,1,1,1,1,1
NHIC_ICU_223,Drugs,Relaxants,Vecuronium - finish time and date,Vecuronium finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_224,Drugs,Relaxants,Vecuronium - quantity/hr,Vecuronium quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_225,Drugs,Relaxants,Pancuronium - start time and date,Pancuronium start time and date. ,,,,1,1,1,1,1
NHIC_ICU_226,Drugs,Relaxants,Pancuronium - finish time and date,Pancuronium finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_227,Drugs,Relaxants,Pancuronium - quantity/hr,Pancuronium quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_228,Drugs,Relaxants,Cis-atracurium - start time and date,Cis-atracurium start time and date. ,,,,1,1,1,1,1
NHIC_ICU_229,Drugs,Relaxants,Cis-atracurium - finish time and date,Cis-atracurium finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_230,Drugs,Relaxants,Cis-atracurium - quantity/hr,Cis-atracurium quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_231,Drugs,Antibiotics (parenteral),Co-amoxiclav - dose,Co-amoxiclav dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_232,Drugs,Antibiotics (parenteral),Co-amoxiclav - frequency,Co-amoxiclav frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_233,Drugs,Antibiotics (parenteral),Co-amoxiclav - start time and date,Co-amoxiclav start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_234,Drugs,Antibiotics (parenteral),Co-amoxiclav - finish time and date,Co-amoxiclav finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_235,Drugs,Antibiotics (parenteral),Piptazobactam - dose,Piptazobactam dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_236,Drugs,Antibiotics (parenteral),Piptazobactam - frequency,Piptazobactam frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_237,Drugs,Antibiotics (parenteral),Piptazobactam - start time and date,Piptazobactam start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_238,Drugs,Antibiotics (parenteral),Piptazobactam - finish time and date,Piptazobactam finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_239,Drugs,Antibiotics (parenteral),Cefuroxime - dose,Cefuroxime dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_240,Drugs,Antibiotics (parenteral),Cefuroxime - frequency,Cefuroxime frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_241,Drugs,Antibiotics (parenteral),Cefuroxime - start time and date,Cefuroxime start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_242,Drugs,Antibiotics (parenteral),Cefuroxime - finish time and date,Cefuroxime finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_243,Drugs,Antibiotics (parenteral),Ceftazadime - dose,Ceftazadime dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_244,Drugs,Antibiotics (parenteral),Ceftazadime - frequency,Ceftazadime frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_245,Drugs,Antibiotics (parenteral),Ceftazadime - start time and date,Ceftazadime start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_246,Drugs,Antibiotics (parenteral),Ceftazadime - finish time and date,Ceftazadime finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_247,Drugs,Antibiotics (parenteral),Cefotaxime - dose,Cefotaxime dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_248,Drugs,Antibiotics (parenteral),Cefotaxime - frequency,Cefotaxime frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_249,Drugs,Antibiotics (parenteral),Cefotaxime - start time and date,Cefotaxime start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_250,Drugs,Antibiotics (parenteral),Cefotaxime - finish time and date,Cefotaxime finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_251,Drugs,Antibiotics (parenteral),Benzylpenicillin - dose,Benzylpenicillin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_252,Drugs,Antibiotics (parenteral),Benzylpenicillin - frequency,Benzylpenicillin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_253,Drugs,Antibiotics (parenteral),Benzylpenicillin - start time and date,Benzylpenicillin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_254,Drugs,Antibiotics (parenteral),Benzylpenicillin - finish time and date,Benzylpenicillin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_255,Drugs,Antibiotics (parenteral),Flucloxacillin - dose,Flucloxacillin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_256,Drugs,Antibiotics (parenteral),Flucloxacillin - frequency,Flucloxacillin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_257,Drugs,Antibiotics (parenteral),Flucloxacillin - start time and date,Flucloxacillin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_258,Drugs,Antibiotics (parenteral),Flucloxacillin - finish time and date,Flucloxacillin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_259,Drugs,Antibiotics (parenteral),Clindamycin - dose,Clindamycin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_260,Drugs,Antibiotics (parenteral),Clindamycin - frequency,Clindamycin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_261,Drugs,Antibiotics (parenteral),Clindamycin - start time and date,Clindamycin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_262,Drugs,Antibiotics (parenteral),Clindamycin - finish time and date,Clindamycin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_263,Drugs,Antibiotics (parenteral),Gentamicin - dose,Gentamicin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_264,Drugs,Antibiotics (parenteral),Gentamicin - frequency,Gentamicin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_265,Drugs,Antibiotics (parenteral),Gentamicin - start time and date,Gentamicin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_266,Drugs,Antibiotics (parenteral),Gentamicin - finish time and date,Gentamicin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_267,Drugs,Antibiotics (parenteral),Metronidazole - dose,Metronidazole dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_268,Drugs,Antibiotics (parenteral),Metronidazole - frequency,Metronidazole frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_269,Drugs,Antibiotics (parenteral),Metronidazole - start time and date,Metronidazole start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_270,Drugs,Antibiotics (parenteral),Metronidazole - finish time and date,Metronidazole finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_271,Drugs,Antibiotics (parenteral),Meropenem - dose,Meropenem dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_272,Drugs,Antibiotics (parenteral),Meropenem - frequency,Meropenem frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_273,Drugs,Antibiotics (parenteral),Meropenem - start time and date,Meropenem start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_274,Drugs,Antibiotics (parenteral),Meropenem - finish time and date,Meropenem finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_275,Drugs,Antibiotics (parenteral),Imipenem - dose,Imipenem dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_276,Drugs,Antibiotics (parenteral),Imipenem - frequency,Imipenem frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_277,Drugs,Antibiotics (parenteral),Imipenem - start time and date,Imipenem start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_278,Drugs,Antibiotics (parenteral),Imipenem - finish time and date,Imipenem finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_279,Drugs,Antibiotics (parenteral),Anidulafungin - dose,Anidulafungin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_280,Drugs,Antibiotics (parenteral),Anidulafungin - frequency,Anidulafungin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_281,Drugs,Antibiotics (parenteral),Anidulafungin - start time and date,Anidulafungin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_282,Drugs,Antibiotics (parenteral),Anidulafungin - finish time and date,Anidulafungin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_283,Drugs,Antibiotics (parenteral),Amikacin - dose,Amikacin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_284,Drugs,Antibiotics (parenteral),Amikacin - frequency,Amikacin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_285,Drugs,Antibiotics (parenteral),Amikacin - start time and date,Amikacin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_286,Drugs,Antibiotics (parenteral),Amikacin - finish time and date,Amikacin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_287,Drugs,Antibiotics (parenteral),Colistin - dose,Colistin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_288,Drugs,Antibiotics (parenteral),Colistin - frequency,Colistin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_289,Drugs,Antibiotics (parenteral),Colistin - start time and date,Colistin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_290,Drugs,Antibiotics (parenteral),Colistin - finish time and date,Colistin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_291,Drugs,Antibiotics (parenteral),Ciprofloxacin - dose,Ciprofloxacin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_292,Drugs,Antibiotics (parenteral),Ciprofloxacin - frequency,Ciprofloxacin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_293,Drugs,Antibiotics (parenteral),Ciprofloxacin - start time and date,Ciprofloxacin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_294,Drugs,Antibiotics (parenteral),Ciprofloxacin - finish time and date,Ciprofloxacin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_295,Drugs,Antibiotics (parenteral),Fluconazole - dose,Fluconazole dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_296,Drugs,Antibiotics (parenteral),Fluconazole - frequency,Fluconazole frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_297,Drugs,Antibiotics (parenteral),Fluconazole - start time and date,Fluconazole start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_298,Drugs,Antibiotics (parenteral),Fluconazole - finish time and date,Fluconazole finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_299,Drugs,Antibiotics (parenteral),Amphoteracin - dose,Amphoteracin dose. ,,,,1,1,1,1,1
NHIC_ICU_300,Drugs,Antibiotics (parenteral),Amphoteracin - frequency,Amphoteracin frequency. ,,,,1,1,1,1,1
NHIC_ICU_301,Drugs,Antibiotics (parenteral),Amphoteracin - start time and date,Amphoteracin start time and date. ,,,,1,1,1,1,1
NHIC_ICU_302,Drugs,Antibiotics (parenteral),Amphoteracin - finish time and date,Amphoteracin finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_303,Drugs,Antibiotics (parenteral),Amphoteracin [liposomal] - dose,Amphoteracin [liposomal] dose. ,,,,1,1,1,1,1
NHIC_ICU_304,Drugs,Antibiotics (parenteral),Amphoteracin [liposomal] - frequency,Amphoteracin [liposomal] frequency. ,,,,1,1,1,1,1
NHIC_ICU_305,Drugs,Antibiotics (parenteral),Amphoteracin [liposomal] - start time and date,Amphoteracin [liposomal] start time and date. ,,,,1,1,1,1,1
NHIC_ICU_306,Drugs,Antibiotics (parenteral),Amphoteracin [liposomal] - finish time and date,Amphoteracin [liposomal] finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_307,Drugs,Antibiotics (parenteral),Caspofungin - dose,Caspofungin dose.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_308,Drugs,Antibiotics (parenteral),Caspofungin - frequency,Caspofungin frequency.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_309,Drugs,Antibiotics (parenteral),Caspofungin - start time and date,Caspofungin start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_310,Drugs,Antibiotics (parenteral),Caspofungin - finish time and date,Caspofungin finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_311,Drugs,Antibiotics (parenteral),Aciclovir - dose,Aciclovir dose. ,,,,1,1,1,1,1
NHIC_ICU_312,Drugs,Antibiotics (parenteral),Aciclovir - frequency,Aciclovir frequency. ,,,,1,1,1,1,1
NHIC_ICU_313,Drugs,Antibiotics (parenteral),Aciclovir - start time and date,Aciclovir start time and date. ,,,,1,1,1,1,1
NHIC_ICU_314,Drugs,Antibiotics (parenteral),Aciclovir - finish time and date,Aciclovir finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_315,Drugs,Antibiotics (parenteral),Zanamavir - dose,Zanamavir dose. ,,,,1,1,1,1,1
NHIC_ICU_316,Drugs,Antibiotics (parenteral),Zanamavir - frequency,Zanamavir frequency. ,,,,1,1,1,1,1
NHIC_ICU_317,Drugs,Antibiotics (parenteral),Zanamavir - start time and date,Zanamavir start time and date. ,,,,1,1,1,1,1
NHIC_ICU_318,Drugs,Antibiotics (parenteral),Zanamavir - finish time and date,Zanamavir finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_319,Drugs,Antibiotics (parenteral),Ostelamavir - dose,Ostelamavir dose. ,,,,1,1,1,1,1
NHIC_ICU_320,Drugs,Antibiotics (parenteral),Ostelamavir - frequency,Ostelamavir frequency. ,,,,1,1,1,1,1
NHIC_ICU_321,Drugs,Antibiotics (parenteral),Ostelamavir - start time and date,Ostelamavir start time and date. ,,,,1,1,1,1,1
NHIC_ICU_322,Drugs,Antibiotics (parenteral),Ostelamavir - finish time and date,Ostelamavir finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_323,Metbolic/Endocrine,Antibiotics (parenteral),Insulin infusion - start time and date,Insulin infusion start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_324,Metbolic/Endocrine,Antibiotics (parenteral),Insulin infusion - finish time and date,Insulin infusion finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_325,Metbolic/Endocrine,Antibiotics (parenteral),Insulin infusion - quantity/day,Insulin infusion quantity/day  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_326,Metbolic/Endocrine,Antibiotics (parenteral),Insulin intermittent - start time and date,Insulin intermittent start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_327,Metbolic/Endocrine,Antibiotics (parenteral),Insulin intermittent - finish time and date,Insulin intermittent finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_328,Metbolic/Endocrine,Antibiotics (parenteral),Insulin intermittent - quantity/day,Insulin intermittent quantity/day  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_329,Metbolic/Endocrine,Antibiotics (parenteral),Steroids - start time and date,Steroids start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_330,Metbolic/Endocrine,Antibiotics (parenteral),Steroids - finish time and date,Steroids finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_331,Metbolic/Endocrine,Antibiotics (parenteral),Steroids - quantity/day,Steroids quantity/day  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_332,Metbolic/Endocrine,Antibiotics (parenteral),Pro-kinetics - start time and date,Pro-kinetics start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_333,Metbolic/Endocrine,Antibiotics (parenteral),Pro-kinetics - finish time and date,Pro-kinetics finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_334,Metbolic/Endocrine,Antibiotics (parenteral),Pro-kinetics - quantity/day,Pro-kinetics quantity/day  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_335,Metbolic/Endocrine,Antibiotics (parenteral),TPN - start time and date,TPN start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_336,Metbolic/Endocrine,Antibiotics (parenteral),TPN - finish time and date,TPN finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_337,Metbolic/Endocrine,Antibiotics (parenteral),TPN - ml/h,TPN ml/h  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_338,Metbolic/Endocrine,Antibiotics (parenteral),Enteral feed - start time and date,Enteral feed start time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_339,Metbolic/Endocrine,Antibiotics (parenteral),Enteral feed - finish time and date,Enteral feed finish time and date.  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_340,Metbolic/Endocrine,Antibiotics (parenteral),Enteral feed - ml/h,Enteral feed ml/h  Recorded daily.,,,,1,1,1,1,1
NHIC_ICU_341,Fluid,Antibiotics (parenteral),Gelatin - start time and date,Gelatin start time and date.  Recorded ml/h.,,,,4,4,4,4,4
NHIC_ICU_342,Fluid,Antibiotics (parenteral),Gelatin - finish time and date,Gelatin finish time and date.  Recorded ml/h.,,,,4,4,4,4,4
NHIC_ICU_343,Fluid,Antibiotics (parenteral),Gelatin - ml/h,Gelatin ml/h  Recorded ml/h.,,,,1,1,1,1,4
NHIC_ICU_344,Fluid,Antibiotics (parenteral),Starch - start time and date,Starch start time and date.  Recorded ml/h.,,,,4,4,4,4,4
NHIC_ICU_345,Fluid,Antibiotics (parenteral),Starch - finish time and date,Starch finish time and date.  Recorded ml/h.,,,,4,4,4,4,4
NHIC_ICU_346,Fluid,Antibiotics (parenteral),Starch - ml/h,Starch ml/h  Recorded ml/h.,,,,4,4,4,4,4
NHIC_ICU_347,Fluid,Antibiotics (parenteral),N saline - start time and date,N saline start time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_348,Fluid,Antibiotics (parenteral),N saline - finish time and date,N saline finish time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_349,Fluid,Antibiotics (parenteral),N saline - ml/h,N saline ml/h  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_350,Fluid,Antibiotics (parenteral),3% saline - start time and date,3% saline start time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_351,Fluid,Antibiotics (parenteral),3% saline - finish time and date,3% saline finish time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_352,Fluid,Antibiotics (parenteral),3% saline - ml/h,3% saline ml/h  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_353,Fluid,Antibiotics (parenteral),5% glucose - start time and date,5% glucose start time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_354,Fluid,Antibiotics (parenteral),5% glucose - finish time and date,5% glucose finish time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_355,Fluid,Antibiotics (parenteral),5% glucose - ml/h,5% glucose ml/h  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_356,Fluid,Antibiotics (parenteral),10% glucose - start time and date,10% glucose start time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_357,Fluid,Antibiotics (parenteral),10% glucose - finish time and date,10% glucose finish time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_358,Fluid,Antibiotics (parenteral),10% glucose - ml/h,10% glucose ml/h  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_359,Fluid,Antibiotics (parenteral),20% glucose - start time and date,20% glucose start time and date.  Recorded ml/h.,,,,4,4,4,4,3
NHIC_ICU_360,Fluid,Antibiotics (parenteral),20% glucose - finish time and date,20% glucose finish time and date.  Recorded ml/h.,,,,4,4,4,4,3
NHIC_ICU_361,Fluid,Antibiotics (parenteral),20% glucose - ml/h,20% glucose ml/h  Recorded ml/h.,,,,1,1,1,1,3
NHIC_ICU_362,Fluid,Antibiotics (parenteral),50% glucose - start time and date,50% glucose start time and date.  Recorded ml/h.,,,,4,4,4,4,3
NHIC_ICU_363,Fluid,Antibiotics (parenteral),50% glucose - finish time and date,50% glucose finish time and date.  Recorded ml/h.,,,,4,4,4,4,3
NHIC_ICU_364,Fluid,Antibiotics (parenteral),50% glucose - ml/h,50% glucose ml/h  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_365,Fluid,Antibiotics (parenteral),Enteral water - start time and date,Enteral water start time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_366,Fluid,Antibiotics (parenteral),Enteral water - finish time and date,Enteral water finish time and date.  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_367,Fluid,Antibiotics (parenteral),Enteral water - ml/h,Enteral water ml/h  Recorded ml/h.,,,,1,1,1,1,1
NHIC_ICU_368,Blood products,Antibiotics (parenteral),Packed cells - start time and date,Packed cells start time and date. ,,,,1,1,1,1,1
NHIC_ICU_369,Blood products,Antibiotics (parenteral),Packed cells - finish time and date,Packed cells finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_370,Blood products,Antibiotics (parenteral),Packed cells - quantity/hr,Packed cells quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_371,Blood products,Antibiotics (parenteral),Platelets - start time and date,Platelets start time and date. ,,,,1,1,1,1,1
NHIC_ICU_372,Blood products,Antibiotics (parenteral),Platelets - finish time and date,Platelets finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_373,Blood products,Antibiotics (parenteral),Platelets - quantity/hr,Platelets quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_374,Blood products,Antibiotics (parenteral),Fresh frozen plasma - start time and date,Fresh frozen plasma start time and date. ,,,,1,1,1,1,1
NHIC_ICU_375,Blood products,Antibiotics (parenteral),Fresh frozen plasma - finish time and date,Fresh frozen plasma finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_376,Blood products,Antibiotics (parenteral),Fresh frozen plasma - quantity/hr,Fresh frozen plasma quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_377,Blood products,Antibiotics (parenteral),Cryoprecipitate - start time and date,Cryoprecipitate start time and date. ,,,,1,1,1,1,1
NHIC_ICU_378,Blood products,Antibiotics (parenteral),Cryoprecipitate - finish time and date,Cryoprecipitate finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_379,Blood products,Antibiotics (parenteral),Cryoprecipitate - quantity/hr,Cryoprecipitate quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_380,Blood products,Antibiotics (parenteral),Prothrombin complex - start time and date,Prothrombin complex start time and date. ,,,,1,1,1,1,1
NHIC_ICU_381,Blood products,Antibiotics (parenteral),Prothrombin complex - finish time and date,Prothrombin complex finish time and date. ,,,,1,1,1,1,1
NHIC_ICU_382,Blood products,Antibiotics (parenteral),Prothrombin complex - quantity/hr,Prothrombin complex quantity/hr ,,,,1,1,1,1,1
NHIC_ICU_383,Outcomes,Antibiotics (parenteral),Disease coding,,,,,1,1,4,4,3
NHIC_ICU_384,Outcomes,Antibiotics (parenteral),Admission severity of illness,,,,,1,1,1,1,1
NHIC_ICU_385,Outcomes,Antibiotics (parenteral),Ongoing organ support whilst on critical care,,,,,1,1,1,1,1
NHIC_ICU_386,Outcomes,Antibiotics (parenteral),ICU length of stay,,,,,1,1,1,1,1
NHIC_ICU_387,Outcomes,Antibiotics (parenteral),Hospital Length of stay,,,,,1,1,1,1,1
NHIC_ICU_388,Outcomes,Antibiotics (parenteral),Hospital Readmissions,,,,,1,1,1,1,1
NHIC_ICU_389,Outcomes,Antibiotics (parenteral),Hospital Length of stay,,,,,1,1,1,1,1
NHIC_ICU_390,Outcomes,Antibiotics (parenteral),Speciality,,,,,2,2,1,1,2
NHIC_ICU_391,Outcomes,Antibiotics (parenteral),ICU readmissions,,,,,1,1,1,1,1
NHIC_ICU_392,Outcomes,Antibiotics (parenteral),ICU readmission length of stay,,,,,1,1,1,1,1
NHIC_ICU_393,Outcomes,Antibiotics (parenteral),Operation,,,,,3,3,3,4,3
NHIC_ICU_394,Outcomes,Antibiotics (parenteral),Death,Date of death,,,,1,1,1,1,1
