Data item No.,Section,Sub-section,Data Item Name,Data Item Description,"Datatype (Indicative only)",National Code,Data Dictionary Element,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? "
NHIC_HEP_210,Biopsy,,SteatosisCode,"Steatosis. References table SteatosisCodes in national HCV dataset. 0=minimal absent (<5% hepatocytes involved), 1=mild (5-33%), 2=moderate (34-66%), 3=severe (>66%) or not known ",Nchar(1),,,,1,1,2,1,2
NHIC_HEP_211,Biopsy,,Siderosis,Present/absent/not known. References BiopsyFindingsCodes,Present/absent/not known.,,,,,1,2,1,
NHIC_HEP_212,Biopsy,,Steatohepatitis,Present/absent/not known. References BiopsyFindingsCodes,Present/absent/not known.,,,,1,1,2,1,2
NHIC_HEP_213,Biopsy,,,,,,,,,,2,1,2
NHIC_HEP_214,Biopsy,,Biopsy Adequate,Biopsy Adequate.,Yes/no/not recorded,,,,2,2,2,1,2
NHIC_HEP_215,Biopsy,,Biopsy Length,(Numerical value including 1 decimal point),float,,,,1,1,2,1,2
NHIC_HEP_216,Biopsy,,Biopsy Comments,,Nvarchar(max),,,,2,2,2,1,
NHIC_HEP_217,Biopsy,,HBV core Ag staining,,,,,,,,2,1,2
NHIC_HEP_218,Biopsy,,AI features,,,,,,,,2,1,
NHIC_HEP_219,Visits,,FollowUpId,"Primary key, autonumber field.  Hidden from user.",Int identity,,,,,,,1,2
NHIC_HEP_220,Visits,,Visit StudyNumber,References table PatientDetails in national HCV dataset.,Nchar(8),,,,1,1,2,1,
NHIC_HEP_221,Visits,,FollowUpDate,Date of follow up,Datetime,,,,2,2,2,1,2
NHIC_HEP_222,Visits,,LastClinicAttendanceDate,Date of last clinic attendance,Datetime,,,,2,2,2,1,2
NHIC_HEP_223,Visits,,DischargedFromHcvClinic,Has patient been discharged from HCV clinic. Y/N,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_224,Visits,,DischargeReason,Reason for discharge. References table DischargeReasons in national HCV dataset.,Nchar(1),,,,1,1,2,1,
NHIC_HEP_225,Visits,,Notes,Free text notes,Nvarchar(500),,,,2,2,2,1,
NHIC_HEP_226,Visits,,DischargedFromLiverClinic,Has patient been discharged from Liver clinic. Y/N,Nchar(1),,,,2,2,2,1,2
NHIC_HEP_227,Treatment,,Treatment StudyNumber,References PatientDetails in national HCV dataset.,Nchar(8),,,,1,1,2,1,2
NHIC_HEP_228,Treatment,,TreatmentTypeCode,"Type of treatment (drug). References table TreatmentTypeCodes  in national HCV dataset.. [needs to cover HCV, HBV, AI and post transplant]",Nchar(3),,,,1,1,2,1,2
NHIC_HEP_229,Treatment,,TreatmentOther,Free text field to record other treatments,Nvarchar(50),,,,2,2,2,1,2
NHIC_HEP_230,Treatment,,DAACode,"If treatment is PGD + Ribav + DAA, records DAA. References DAACodes.",Nvarchar(5),,,,1,1,2,1,2
NHIC_HEP_231,Treatment,,TreatmentStartDate,Date of start of treatment,Datetime,,,,2,2,2,1,2
NHIC_HEP_232,Treatment,,TreatmentEndDate,Date of end of treatment,Datetime,,,,2,2,2,1,2
NHIC_HEP_233,Treatment,,ReasonStoppedCode,Reason for stopping treatment. References table ReasonStoppedCodes in national HCV dataset.,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_234,Treatment,,OptimalAdherence,Adherence to treatment as 80% of intended dose.  References YesNoCodes,Nchar(1),,,,1,1,2,,2
NHIC_HEP_235,Treatment,,HCV RVR,Achieved at RVR (after 4 weeks). References table RVRCodes in national HCV dataset.,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_236,Treatment,,HCV EVR,Achieved at EVR (after 12 weeks). References table EVRCodes in national HCV dataset.,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_237,Treatment,,HCV eRVR, =neg at 4 AND 12 weeks. References table eRVRCodes in national HCV dataset.,,,,,1,1,2,1,
NHIC_HEP_238,Treatment,,TreatmentOutcome,Outcome of treatment. References table TreatmentOutcomeCodes in national HCV dataset.,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_239,Treatment,,SideEffects,List of side effects - free text but with insertion from list (SideEffectsCode),Nvarchar(100),,,,2,2,2,1,2
NHIC_HEP_240,Treatment,,PreTreatmentViralLoad,"Pre-treatment viral load. Validation range 30 < PTVL < 13,000,000. Reported as e.g. 13,000,000 or 1.3x104  or 1.3^4. Need a UI which accepts all three formats. Value of 1 = PTVL not available/not tested",Int,,,,2,2,2,1,
NHIC_HEP_241,Treatment,,TreatmentSettingCode,Treatment Setting. References table TreatmentSettings in national HCV dataset.,Nchar(1),,,,1,1,2,1,2
NHIC_HEP_242,Treatment,,Treatment Notes,Free text notes,Nvarchar(50),,,,2,2,2,1,2
NHIC_HEP_243,Treatment,,HBV DNA suppression 1yr after start,,Y/N,,,,2,2,2,1,2
NHIC_HEP_244,Treatment,,eAg loss,,Y/N,,,,2,2,2,1,2
NHIC_HEP_245,Treatment,,eAb seroconversion,,Y/N,,,,2,2,2,1,
NHIC_HEP_246,Treatment,,sAg loss,,Y/N,,,,2,2,2,1,2
NHIC_HEP_247,Treatment,,sAb seroconversion,,Y/N,,,,2,2,2,1,2
NHIC_HEP_248,Treatment,,HDV,,,,,,2,2,2,1,2
NHIC_HEP_249,Treatment,,HDV RNA clearance**,,Y/N,,,,2,2,2,1,2
NHIC_HEP_250,Treatment,,HDV RNA sustained response***,,Y/N,,,,2,,,1,
NHIC_HEP_251,Treatment,,HBsAg loss ,,Y/N,,,,2,2,2,1,2
NHIC_HEP_252,Treatment,,AI response,,,,,,2,2,2,1,2
NHIC_HEP_253,Pregnancy,Demographics,Date of conception,,,,,,,,2,1,2
NHIC_HEP_254,Pregnancy,Demographics,Date of delivery,,,,,,2,2,2,1,2
NHIC_HEP_255,Pregnancy,Demographics,Country of origin,,,,,,2,2,2,1,
NHIC_HEP_256,Pregnancy,Demographics,Ethnicity,,,,,,2,2,2,1,2
NHIC_HEP_257,Pregnancy,Demographics,Born in UK,,Y/N,,,,2,2,2,1,2
NHIC_HEP_258,Pregnancy,Demographics,Years in UK,,numeric,,,,2,2,2,1,2
NHIC_HEP_259,Pregnancy,Demographics,Is english first language,,Y/N,,,,2,2,2,1,2
NHIC_HEP_260,Pregnancy,Demographics,fluency,,,,,,2,2,2,1,2
NHIC_HEP_261,Pregnancy,Demographics,Parity,,,,,,2,2,2,1,
NHIC_HEP_262,Pregnancy,Delivery,CS ,,Y/N,,,,2,2,2,1,2
NHIC_HEP_263,Pregnancy,Delivery,Interventions,,,,,,2,2,2,1,
NHIC_HEP_264,Pregnancy,Delivery,FSE,,,,,,2,2,2,1,2
NHIC_HEP_265,Pregnancy,Delivery,FBS,,,,,,2,2,2,1,2
NHIC_HEP_266,Pregnancy,Outcome,Live birth?,,,,,,2,2,2,1,
NHIC_HEP_267,Pregnancy,Outcome,Miscarriage?,,,,,,2,2,2,1,2
NHIC_HEP_268,Pregnancy,Outcome,Top?,,,,,,2,2,2,1,2
NHIC_HEP_269,Pregnancy,Pre pregnancy status,Known HBV pre pregnancy,,,,,,2,2,2,1,2
NHIC_HEP_270,Pregnancy,Pre pregnancy status,Known HCV  pre pregnancy,,,,,,2,2,2,1,2
NHIC_HEP_271,Pregnancy,Pre pregnancy status,Known HIV  pre pregnancy,,,,,,2,2,2,1,2
NHIC_HEP_272,Pregnancy,Woman FU,Woman FU,,Y/N,,,,2,2,2,1,
NHIC_HEP_273,Pregnancy,Outcome Baby,HCV RNA birth,,,,,,2,2,,,2
NHIC_HEP_274,Pregnancy,Outcome Baby,HCV RNA at 1 year,,,,,,2,2,2,1,2
NHIC_HEP_275,Pregnancy,Outcome Baby,HCV Infected Y/N,,,,,,2,2,2,1,2
NHIC_HEP_276,Pregnancy,Outcome Baby,HBV Vaccination birth,,,,,,2,2,2,1,2
NHIC_HEP_277,Pregnancy,Outcome Baby,Where is vaccination organised? ,,,,,,2,2,2,,2
NHIC_HEP_278,Pregnancy,Outcome Baby,Hospital ,,,,,,2,2,2,1,2
NHIC_HEP_279,Pregnancy,Outcome Baby,GP,,,,,,2,2,2,1,
NHIC_HEP_280,Pregnancy,Outcome Baby,Community Centre,,,,,,2,2,2,1,2
NHIC_HEP_281,Pregnancy,Outcome Baby,HBIG indicated,,,,,,2,2,2,1,2
NHIC_HEP_282,Pregnancy,Outcome Baby,HBIG received,,,,,,2,2,2,1,2
NHIC_HEP_283,Pregnancy,Outcome Baby,Vaccination 1month,,,,,,2,2,,,2
NHIC_HEP_284,Pregnancy,Outcome Baby,Vaccination 2months,,,,,,2,2,2,1,2
NHIC_HEP_285,Pregnancy,Outcome Baby,Vaccination 12months,,,,,,2,2,2,1,
NHIC_HEP_286,Pregnancy,Outcome Baby,HBsAg,,,,,,2,2,2,1,2
NHIC_HEP_287,Pregnancy,Outcome Baby,HBsAb,,,,,,2,2,2,,2
NHIC_HEP_288,Pregnancy,Diagnosis during  pregnancy,Date of screen,,,,,,2,2,2,1,2
NHIC_HEP_289,Pregnancy,Diagnosis during  pregnancy,HBV Identified at screening during pregnancy,indicates whether patient diagnosed in pregnancy or was known,Y/N,,,,2,2,2,1,2
NHIC_HEP_290,Pregnancy,Diagnosis during  pregnancy,HDV identified at screening during pregnancy,,,,,,2,2,2,1,
NHIC_HEP_291,Pregnancy,Diagnosis during  pregnancy,HDV identified at screening during pregnancy,,,,,,,,2,1,2
NHIC_HEP_292,Pregnancy,Diagnosis during  pregnancy,HCV Ab  identified at screening during pregnancy,,,,,,2,2,2,,2
NHIC_HEP_293,Pregnancy,Diagnosis during  pregnancy,HCV RNA  identified at screening during pregnancy,,,,,,2,2,2,1,2
NHIC_HEP_294,Pregnancy,Diagnosis during  pregnancy,HCV Genotype  identified at screening during pregnancy,,,,,,2,2,2,1,2
NHIC_HEP_295,Pregnancy,Diagnosis during  pregnancy,HIV identified at sceening during pregnancy,,,,,,2,2,2,,2
NHIC_HEP_296,Pregnancy,Antivirals,Did woman conceive on treatment,,,,,,2,2,2,1,2
NHIC_HEP_297,Pregnancy,Antivirals,Did woman discontinue when pregnant,,,,,,2,2,2,1,
NHIC_HEP_298,Pregnancy,Antivirals,Treated for transmission,,,,,,2,2,2,1,2
NHIC_HEP_299,Pregnancy,Antivirals,GA when treatment started,,,,,,2,2,2,1,2
NHIC_HEP_300,Pregnancy,Antivirals,Date treatment stopped,,,,,,2,2,2,1,2
NHIC_HEP_301,Pregnancy,Antivirals,Antiviral treatment at screening during pregnancy,,,,,,2,2,2,1,2
NHIC_HEP_302,Pregnancy,Antivirals,Drug treatment during pregnancy,,,,,,2,2,2,1,2
NHIC_HEP_303,Pregnancy,Antivirals,Antiviral therapy,,,,,,2,2,2,1,2
NHIC_HEP_304,Pregnancy,Antivirals,Treated for AI hepatitis ,,,,,,4,4,4,,2
NHIC_HEP_305,Pregnancy,Drug Toxicity,Had to discontinue ?,,,,,,2,2,4,,
NHIC_HEP_306,Acute hepatitis,Presenting symptoms,Jaundice?,,,,,,4,2,4,,2
NHIC_HEP_307,Acute hepatitis,Presenting symptoms,Malais?,,,,,,4,2,4,,2
NHIC_HEP_308,Acute hepatitis,Presenting symptoms,Other presentig symptoms?,,,,,,4,2,4,,2
NHIC_HEP_309,Acute hepatitis,Labs,ALT,,,,,,4,2,4,,2
NHIC_HEP_310,Acute hepatitis,Labs,AST,,,,,,4,2,4,,2
NHIC_HEP_311,Acute hepatitis,Labs,Alb,,,,,,4,2,4,,2
NHIC_HEP_312,Acute hepatitis,Labs,Bili,,,,,,4,2,4,,
NHIC_HEP_313,Acute hepatitis,Labs,INR,,,,,,4,2,4,,2
NHIC_HEP_314,Acute hepatitis,Labs,PLT,,,,,,4,2,4,,2
NHIC_HEP_315,Acute hepatitis,Viral screen,HAV IgM,,,,,,4,2,4,,2
NHIC_HEP_316,Acute hepatitis,Viral screen,HAV Total,,,,,,4,2,4,,2
NHIC_HEP_317,Acute hepatitis,Viral screen,HBsAg,,,,,,4,2,4,,2
NHIC_HEP_318,Acute hepatitis,Viral screen,HBcIgM,,,,,,4,2,4,,2
NHIC_HEP_319,Acute hepatitis,Viral screen,HBeAg,,,,,,4,2,4,,2
NHIC_HEP_320,Acute hepatitis,Viral screen,HBeAb,,,,,,4,2,4,,2
NHIC_HEP_321,Acute hepatitis,Viral screen,HBsAb,,,,,,4,2,4,,2
NHIC_HEP_322,Acute hepatitis,Viral screen,HBV DNA,,,,,,4,2,4,,2
NHIC_HEP_323,Acute hepatitis,Viral screen,HCV Ab,,,,,,4,2,4,,2
NHIC_HEP_324,Acute hepatitis,Viral screen,HCV RNA,,,,,,4,2,4,,2
NHIC_HEP_325,Acute hepatitis,Viral screen,HCV Gen,,,,,,4,2,4,,
NHIC_HEP_326,Acute hepatitis,Viral screen,HEV IgM ,,,,,,4,2,4,,2
NHIC_HEP_327,Acute hepatitis,Viral screen,HEV IgG,,,,,,4,2,4,,2
NHIC_HEP_328,Acute hepatitis,Viral screen,HEV RNA,,,,,,4,2,4,,2
NHIC_HEP_329,Acute hepatitis,Viral screen,HEV Gen,,,,,,4,2,4,,2
NHIC_HEP_330,Acute hepatitis,Viral screen,EBV VCA IgM ,,,,,,4,2,4,,2
NHIC_HEP_331,Acute hepatitis,Viral screen,EBV VCA IgG,,,,,,4,2,4,,2
NHIC_HEP_332,Acute hepatitis,Viral screen,EBV EBNA IgG,,,,,,4,2,4,,2
NHIC_HEP_333,Acute hepatitis,Viral screen,CMV IgM ,,,,,,4,2,4,,2
NHIC_HEP_334,Acute hepatitis,Viral screen,CMV IgG,,,,,,4,2,4,,2
NHIC_HEP_335,Acute hepatitis,Medication,Medications,,,,,,4,2,4,,2
NHIC_HEP_336,Acute hepatitis,Alcohol,Alcohol?,,,,,,4,2,4,,2
NHIC_HEP_337,Acute hepatitis,Autoimmune hepatitis ,Autoimmune hepatitis?,,,,,,4,2,4,,2
NHIC_HEP_338,Acute hepatitis,Other liver ,Haemochromatosis?,,,,,,4,2,4,,2
NHIC_HEP_339,Acute hepatitis,Other liver ,A-1-AT?,,,,,,4,2,4,,2
NHIC_HEP_340,Acute hepatitis,Other liver ,Wilson's?,,,,,,4,2,4,,2
NHIC_HEP_341,Acute hepatitis,Other,Haemolysis?,,,,,,4,2,4,,2
NHIC_HEP_342,Acute hepatitis,Other,Thyroid?,,,,,,4,2,4,,2
NHIC_HEP_343,Acute hepatitis,Other,Other condition?,,,,,,4,2,4,,
