Data item No.,Section,Data Item Name,Data Item Description,"A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? ",Comments
NHIC_TRA_193,URINE TESTS,Glucose dip result,URINE DIP glucose result,1,1,1,1,,
NHIC_TRA_194,URINE TESTS,Ketone bodies dip result,URINE DIP ketone bodies result,1,1,,1,,
NHIC_TRA_195,URINE TESTS,Erythrocytes dip result,URINE DIP erythrocytes result,1,1,1,1,,
NHIC_TRA_196,URINE TESTS,Hb dip result,URINE DIP Hb result,1,1,1,1,,
NHIC_TRA_197,URINE TESTS,Albumen test date/time,URINE TEST date - Albumen,1,1,1,1,,
NHIC_TRA_198,URINE TESTS,Albumen test result,URINE TEST result - Albumen,1,1,1,1,,
NHIC_TRA_199,URINE TESTS,Albumen test unit,URINE TEST unit  - Albumen,1,1,1,1,,
NHIC_TRA_200,URINE TESTS,Microalbumen test date/time,URINE TEST date - Microalbumen,1,1,1,1,,
NHIC_TRA_201,URINE TESTS,Microalbumen test result,URINE TEST result - Microalbumen,1,1,1,1,,
NHIC_TRA_202,URINE TESTS,Microalbumen test unit,URINE TEST unit  - Microalbumen,1,1,1,1,,
NHIC_TRA_203,TRANSPLANT BIOPSIES,Biopsy date,Date of TRANSPLANT BIOPSY performed on a TRANSPLANT,2,2,1,2,1,not direct feed although EPR might be able to tranfer reports. Currently manual entry. Some variation in what is recorded.
NHIC_TRA_204,TRANSPLANT BIOPSIES,Biopsy report text,TRANSPLANT BIOPSY Report Text,2,2,1,2,1,
NHIC_TRA_205,TRANSPLANT BIOPSIES,Biopsy ID,TRANSPLANT BIOPSY ID,1,1,1,1,1,
NHIC_TRA_206,TRANSPLANT BIOPSIES,Banff code,BANFF CODE Assigned to a TRANSPLANT BIOPSY,2,2,1,1,1,
NHIC_TRA_207,TRANSPLANT BIOPSIES,Banff symptom category,BANFF SYMPTOM Category assessed in a TRANSPLANT BIOPSY,2,2,1,2,1,
NHIC_TRA_208,TRANSPLANT BIOPSIES,Banff symptom category score,BANFF SYMPTOM score assigned to a TRANSPLANT BIOPSY,2,2,1,2,1,
NHIC_TRA_209,TRANSPLANT BIOPSIES,Acute rejection diagnosis?,Was an acute rejection diagnosis made as a result of the TRANSPLANT BIOPSY,2,2,1,2,1,
NHIC_TRA_210,GENERIC CONSENT,Consent to use tissue?,Has an INDIVIDUAL given CONSENT to use tissue?,,,,,,
NHIC_TRA_211,GENERIC CONSENT,Consent to use genetic data?,Has an INDIVIDUAL given CONSENT to use genetic data?,,,,,,
NHIC_TRA_212,GENERIC CONSENT,Consent to use blood?,Has an INDIVIDUAL given CONSENT to use blood?,,,,,,
NHIC_TRA_213,GENERIC CONSENT,Consent to use records?,Has an INDIVIDUAL given CONSENT to use records?,3,3,1,2,3,multiple consents collected in paper form and placed in medical notes
NHIC_TRA_214,GENERIC CONSENT,Consent to be contacted about research?,Has an INDIVIDUAL given CONSENT to be contacted about research?,4,,,,,
NHIC_TRA_215,GENERIC CONSENT,Consent for animal research?,Has an INDIVIDUAL given CONSENT to be involved in animal research?,4,,,,,
NHIC_TRA_216,GENERIC CONSENT,Date consent given,When was CONSENT given?,3,3,3,3,3,"unclear as to what is meant by generic consent as we request consent for relase of info,virology screen,surgical procedure"
NHIC_TRA_217,GENERIC CONSENT,Date consent withdrawn,When was CONSENT withdrawn?,3,3,3,3,3,
NHIC_TRA_218,STUDY ENROLMENT,Name of study/ies patient enrolled in,Name of a RESEARCH STUDY an INDIVIDUAL is enrolled in,4,,,,,Has not been done here up to now. BCDE n/a
NHIC_TRA_219,STUDY ENROLMENT,Enrolment date/s,Date individual was enrolled in RESEARCH STUDY,4,,,,,Unknown presume not done here. BCDE n/a
NHIC_TRA_220,STUDY ENROLMENT,Consent conditions,Any CONDTIONs that limit participation in RESEARCH STUDY,3,3,2,2,4,"No data standard set in the unit. Consent forms kept as per GCP for trials. Recorded on proton and individual trial/project website or database on the trust server. Answer can be 1, 2 and 3"
NHIC_TRA_221,STUDY ENROLMENT,Withdrawal date/s,Date individual withdrew from RESEARCH STUDY,3,3,2,3,2,Also recorded on proton and individual trial/project database on the trust server
NHIC_TRA_222,STUDY ENROLMENT,Withdrawal conditions,Any CONDTIONs attached to withdrawal from RESEARCH STUDY,2,2,2,2,2,"Recorded on problem page on proton. Label on front of note/flowchart, medical notes on paper, trial website and project database on trust server"
NHIC_TRA_223,STUDY ENROLMENT,Study ID,Identifier used for INDIVIDUAL in RESEARCH STUDY,3,3,2,2,2,"Usually same as consent. Need provision for randomisation date as well.. Recorded on trial website, on proton problems and on trial/ project database on trust server"
NHIC_TRA_224,STUDY SAMPLE COLLECTION,Sample ID,Identifier used for RESEARCH SAMPLE taken from INDIVIDUAL as part of RESEARCH STUDY,3,2,3,3,3,Written in medical notes. Maybe on proton or email from consultant
NHIC_TRA_225,STUDY SAMPLE COLLECTION,Sample Type,Type of RESEARCH SAMPLE,3,2,4,4,3,"Written in notes, on proton, Recorded on individual  trial website or database on trust server"
NHIC_TRA_226,STUDY SAMPLE COLLECTION,Sample Date,Date and time RESEARCH SAMPLE was given,3,4,4,4,3,Don't understand the question. Pts do not need to give a reason for withdrawal but is documented if know on proton.
NHIC_TRA_227,STUDY SAMPLE COLLECTION,Sample Status,Current status of RESEARCH SAMPLE,2,2,1,2,2,Could be standardised for Oxford led studies but not for externally coordinated or commercial studies. Usually Initials and number as in protocol
NHIC_TRA_228,STUDY SAMPLE COLLECTION,Sample quality,Quality of RESEARCH SAMPLE ,3,3,1,2,3,"Central labs can have own identifiers and labels and request forms- usually paper. I record date +/- time of sampling on database. Lab will allocate more numbers after centrifuging.A=1,2&3"
NHIC_TRA_229,STUDY SAMPLE COLLECTION,Aliquot ID,Identifier of RESEARCH ALIQUOT made from RESEARCH SAMPLE,2,2,1,2,2,"ie Whole Blood, Serum, Plasma, Urine, Biopsy etc . Biopsy recorded on database for trial and website. BART samples recorded at lab and used for various test. Ask K Wood's lab."
