Data item No.,Section,Sub-section,Data Item Name,Data Item Description,National Code,Data Dictionary Element,"[Optional] Local identifier","A: How is the data item collected","B. How is the data item stored, within the centre?","C. How would you describe the existing coverage?","D. How would you describe the existing quality?","E. How hard would it be to achieve a score of 1 for Parts A to D? ",F. what  are the circumstances of data collection?  where and when is the data recorded?  who is responsible for data entry?,"G. is there a particular form (or data standard, or proforma) used for the collection of the data?   If so, please supply a copy or reference. ","H. if the data is stored in a local database or data warehouse, what is the name and version of the database application?"
NHIC_TRA_103,RECIPIENT SEROLOGY ,,Toxoplasma pos/neg,SEROLOGY RESULT of an INDIVIDUAL,,,,4,2,4,2,3,"Test not usually performed, if it was data would be available via pathology repository",no,ADD-DRVM repository and TXVM database
NHIC_TRA_104,RECIPIENT SEROLOGY ,,Toxoplasma date,Date of SEROLOGY RESULT,,,,4,2,4,1,3,"Test not usually performed, if it was data would be available via pathology repository",,ADD-DRVM repository and TXVM database
NHIC_TRA_105,RECIPIENT SEROLOGY ,,HIV pos/neg,SEROLOGY RESULT of an INDIVIDUAL,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_106,RECIPIENT SEROLOGY ,,HIV date,Date of SEROLOGY RESULT,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_107,DONOR SEROLOGY,,CMV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,,,,3,3,1,1,3,Available from NHSBT Core donor data set. This is a pdf copy of the  text from EOS. Data only available for last few years.,NHSBT Core donor form,TXVM file share
NHIC_TRA_108,DONOR SEROLOGY,,CMV date,Date of SEROLOGY RESULT,,,,3,3,1,3,3,Available from NHSBT Core donor data set. This is a pdf copy of the  text from EOS. Data only available for last few years. Date is not stored in an accurate format.,NHSBT Core donor form,TXVM file share
NHIC_TRA_109,DONOR SEROLOGY,,EBV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,,,,3,3,1,1,3,Available from NHSBT Core donor data set. This is a pdf copy of the  text from EOS. Data only available for last few years.,NHSBT Core donor form,TXVM file share
NHIC_TRA_110,DONOR SEROLOGY,,EBV date,Date of SEROLOGY RESULT,,,,3,3,1,3,3,Available from NHSBT Core donor data set. This is a pdf copy of the  text from EOS. Data only available for last few years. Date is not stored in an accurate format.,NHSBT Core donor form,TXVM file share
NHIC_TRA_111,DONOR SEROLOGY,,VZV Pos/neg,SEROLOGY RESULT of an INDIVIDUAL,,,,4,4,4,4,4,not measured,no,na
NHIC_TRA_112,DONOR SEROLOGY,,VZV date,Date of SEROLOGY RESULT,,,,4,4,4,4,4,not measured,no,na
NHIC_TRA_113,DONOR SEROLOGY,,Toxoplasma pos/neg,SEROLOGY RESULT of an INDIVIDUAL,,,,3,3,1,1,3,Available from NHSBT Core donor data set. This is a pdf copy of the  text from EOS. Data only available for last few years.,NHSBT Core donor form,TXVM file share
NHIC_TRA_114,DONOR SEROLOGY,,Toxoplasma date,Date of SEROLOGY RESULT,,,,3,3,1,3,3,Available from NHSBT Core donor data set. This is a pdf copy of the  text from EOS. Data only available for last few years. Date is not stored in an accurate format.,NHSBT Core donor form,TXVM file share
NHIC_TRA_115,DONOR SEROLOGY,,HIV pos/neg,SEROLOGY RESULT of an INDIVIDUAL,,,,3,3,1,1,3,Available from NHSBT Core donor data set. This is a pdf copy of the  text from EOS. Data only available for last few years.,NHSBT Core donor form,TXVM file share
NHIC_TRA_116,DONOR SEROLOGY,,HIV date,Date of SEROLOGY RESULT,,,,3,3,1,3,3,Available from NHSBT Core donor data set. This is a pdf copy of the  text from EOS. Data only available for last few years. Date is not stored in an accurate format.,NHSBT Core donor form,TXVM file share
NHIC_TRA_117,DRUG PRESCRIPTIONS,,Drug name,Brand name of a DRUG PRESCRIPTION,,,,1,1,3,2,3,Drugs entered by medical secretaries post clinic via drugs screen on transplant database.,TXVM drugs screen,TXVM database
NHIC_TRA_118,DRUG PRESCRIPTIONS,,Drug start date,Start date of a DRUG PRESCRIPTION,,,,1,1,3,2,3,Drugs entered by medical secretaries post clinic via drugs screen on transplant database.,TXVM drugs screen,TXVM database
NHIC_TRA_119,DRUG PRESCRIPTIONS,,Drug stop date,End date of a DRUG PRESCRIPTION,,,,1,1,3,2,3,Drugs entered by medical secretaries post clinic via drugs screen on transplant database.,TXVM drugs screen,TXVM database
NHIC_TRA_120,DRUG PRESCRIPTIONS,,Drug current as of date,Date at which a DRUG PRESCRIPTION was known to be current,,,,1,1,1,1,1,Drugs entered by medical secretaries post clinic via drugs screen on transplant database. Then compare to clinic activity.,,TXVM as calculation
NHIC_TRA_121,DRUG PRESCRIPTIONS,,Dose,Dose of a DRUG PRESCRIPTION,,,,1,1,3,2,3,Drugs entered by medical secretaries post clinic via drugs screen on transplant database.,TXVM drugs screen,TXVM database
NHIC_TRA_122,DRUG PRESCRIPTIONS,,Dose unit,Dose unit of a DRUG PRESCRIPTION,,,,1,1,3,2,3,Drugs entered by medical secretaries post clinic via drugs screen on transplant database.,TXVM drugs screen,TXVM database
NHIC_TRA_123,DRUG PRESCRIPTIONS,,Dose frequency,Frequency of administration of a DRUG PRESCRIPTION,,,,1,1,3,2,3,Drugs entered by medical secretaries post clinic via drugs screen on transplant database.,TXVM drugs screen,TXVM database
NHIC_TRA_124,POST-TRANSPLANT FOLLOWUP,,Primary nonfunction/Immediate function/DGF,"Coded value representing whether the function of the kidney TRANSPLANT was immediate, delayed or absent",,,,1,1,1,3,1,Either calculated or entered by coordinators on patient summary screen,TXVM summary screen,TXVM database
NHIC_TRA_125,POST-TRANSPLANT FOLLOWUP,,Dialysis modality,Modality of any DIALYSIS PERIOD occurring after the TRANSPLANT,,,,1,1,3,1,1,Entered via modality screen or caculated from dialysis activity. Question how accurate some patients full history when seen in out reach centre.,TXVM modality screen / dialysis screen,TXVM database
NHIC_TRA_126,POST-TRANSPLANT FOLLOWUP,,Dialysis date/time,Date and time of any DIALYSIS PERIOD occurring after a TRANSPLANT,,,,1,1,3,1,1,Entered via modality screen or caculated from dialysis activity. Question how accurate some patients full history when seen in out reach centre.,TXVM modality screen / dialysis screen,TXVM database
NHIC_TRA_127,POST-TRANSPLANT FOLLOWUP,,Height,HEIGHT MEASUREMENT,,,,1,1,1,1,1,Entered by various staff via events screen on transplant database,TXVM events screen,TXVM database
NHIC_TRA_128,POST-TRANSPLANT FOLLOWUP,,Height unit,HEIGHT MEASUREMENT unit,,,,1,1,1,1,1,Entered by various staff via events screen on transplant database,TXVM events screen,TXVM database
NHIC_TRA_129,POST-TRANSPLANT FOLLOWUP,,Height date,Date of HEIGHT MEASUREMENT,,,,1,1,1,1,1,Entered by various staff via events screen on transplant database,TXVM events screen,TXVM database
NHIC_TRA_130,POST-TRANSPLANT FOLLOWUP,,Weight,WEIGHT MEASUREMENT,,,,1,1,1,1,1,Entered by various staff via events screen on transplant database,TXVM events screen,TXVM database
NHIC_TRA_131,POST-TRANSPLANT FOLLOWUP,,Weight unit,WEIGHT MEASUREMENT unit,,,,1,1,1,1,1,Entered by various staff via events screen on transplant database,TXVM events screen,TXVM database
NHIC_TRA_132,POST-TRANSPLANT FOLLOWUP,,Weight date,Date of WEIGHT MEASUREMENT,,,,1,1,1,1,1,Entered by various staff via events screen on transplant database,TXVM events screen,TXVM database
NHIC_TRA_133,POST-TRANSPLANT FOLLOWUP,,Blood pressure,BLOOD PRESSURE MEASUREMENT,,,,1,1,3,2,3,"Entered by dialysis staff via the dialysis screen, but this does not cover full patient cohort",TXVM dialysis screen,TXVM database
NHIC_TRA_134,POST-TRANSPLANT FOLLOWUP,,Blood pressure unit,BLOOD PRESSURE MEASUREMENT unit,,,,1,1,3,2,3,"Entered by dialysis staff via the dialysis screen, but this does not cover full patient cohort",TXVM dialysis screen,TXVM database
NHIC_TRA_135,POST-TRANSPLANT FOLLOWUP,,Blood pressure date/time,Date of BLOOD PRESSURE MEASUREMENT,,,,1,1,3,2,3,"Entered by dialysis staff via the dialysis screen, but this does not cover full patient cohort",TXVM dialysis screen,TXVM database
NHIC_TRA_136,POST-TRANSPLANT FOLLOWUP,,HLA antibody date,Date of HLA ANTIBODY test,,,,1,1,3,,,"Tests performed only as required clinically, results then available via Tissue typing in pathology repository or on paper.",,ADD-DRVM repository and TXVM database
NHIC_TRA_137,POST-TRANSPLANT FOLLOWUP,,HLA antibody locus,Locus at which  HLA ANTIBODY was tested,,,,2,2,3,,,"Tests performed only as required clinically, results then available via Tissue typing in pathology repository or on paper.",,ADD-DRVM repository and TXVM database
NHIC_TRA_138,POST-TRANSPLANT FOLLOWUP,,HLA antibody value,Locus value/allele at which HLA ANTIBODY was tested,,,,2,2,3,,,"Tests performed only as required clinically, results then available via Tissue typing in pathology repository or on paper.",,ADD-DRVM repository and TXVM database
NHIC_TRA_139,POST-TRANSPLANT FOLLOWUP,,HLA antibody result (yes/no/weak),Result of HLA ANTIBODY assay,,,,1,1,3,,,"Tests performed only as required clinically, results then available via Tissue typing in pathology repository or on paper.",,ADD-DRVM repository and TXVM database
NHIC_TRA_140,CLINICAL EVENTS,,Clinical event date/time,Date of a CLINICAL EVENT that occurs to an INDIVIDUAL,,,,1,1,1,3,2,Entered by various staff on the transplant database iva the events screen,TXVM events screen,TXVM database
NHIC_TRA_141,CLINICAL EVENTS,,Clincal event description,Specifies a CLINICAL EVENT that occurs to an INDIVIDUAL,,,,1,1,1,3,2,Entered by various staff on the transplant database iva the events screen,TXVM events screen,TXVM database
NHIC_TRA_142,BLOOD TESTS,,Serum creatinine level,BLOOD RESULT level,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_143,BLOOD TESTS,,Serum creatinine unit,BLOOD RESULT unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_144,BLOOD TESTS,,Serum creatinine date/time,BLOOD RESULT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_145,BLOOD TESTS,,Blood glucose level,BLOOD RESULT level,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_146,BLOOD TESTS,,Blood glucose unit,BLOOD RESULT unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_147,BLOOD TESTS,,Blood glucose date/time,BLOOD RESULT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_148,BLOOD TESTS,,Blood glucose level,BLOOD RESULT level,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_149,BLOOD TESTS,,Blood glucose unit,BLOOD RESULT unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_150,BLOOD TESTS,,Blood glucose date/time,BLOOD RESULT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_151,BLOOD TESTS,,Tacrolimus level,BLOOD RESULT level,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_152,BLOOD TESTS,,Tacrolimus level unit,BLOOD RESULT unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_153,BLOOD TESTS,,Tacrolimus level date/time,BLOOD RESULT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_154,BLOOD TESTS,,Ciclosporine level,BLOOD RESULT level,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_155,BLOOD TESTS,,Ciclosporine level unit,BLOOD RESULT unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_156,BLOOD TESTS,,Ciclosporine level date/time,BLOOD RESULT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_157,BLOOD TESTS,,HbA1C level,BLOOD RESULT level,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_158,BLOOD TESTS,,HbA1C level unit,BLOOD RESULT unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_159,BLOOD TESTS,,HbA1C level date/time,BLOOD RESULT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_160,BLOOD TESTS,,CMV viral load,BLOOD RESULT level,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_161,BLOOD TESTS,,CMV viral load unit,BLOOD RESULT unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_162,BLOOD TESTS,,CMV viral load date/time,BLOOD RESULT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_163,BLOOD TESTS,,EBV viral load,BLOOD RESULT level,,,,4,4,4,4,3,Not available,,
NHIC_TRA_164,BLOOD TESTS,,EBV viral load unit,BLOOD RESULT unit,,,,4,4,4,4,3,Not available,,
NHIC_TRA_165,BLOOD TESTS,,EBV viral load date/time,BLOOD RESULT date and time,,,,4,4,4,4,3,Not available,,
NHIC_TRA_166,BLOOD TESTS,,BK viral load (blood),BLOOD RESULT level,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_167,BLOOD TESTS,,BK viral load (blood) unit,BLOOD RESULT unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_168,BLOOD TESTS,,BK viral load (blood) date/time,BLOOD RESULT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_169,BLOOD TESTS,,Blood cell count date/time,BLOOD COUNT date and time,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_170,BLOOD TESTS,,White Blood Cell count,BLOOD COUNT white blood cells,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_171,BLOOD TESTS,,White Blood Cell count unit,BLOOD COUNT wbc unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_172,BLOOD TESTS,,Red Blood Cell count,BLOOD COUNT red blood cells,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_173,BLOOD TESTS,,Red Blood Cell count unit,BLOOD COUNT rbc unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_174,BLOOD TESTS,,Haemoglobin,BLOOD COUNT haemoglobin,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_175,BLOOD TESTS,,Haemoglobin unit,BLOOD COUNT haemoglobin unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_176,BLOOD TESTS,,Lymphocytes,BLOOD COUNT lymphocytes,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_177,BLOOD TESTS,,Lymphocytes unit,BLOOD COUNT lymphocytes unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_178,BLOOD TESTS,,Basophils,BLOOD COUNT basophils,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_179,BLOOD TESTS,,Basophils unit,BLOOD COUNT basophils unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_180,BLOOD TESTS,,Monocytes,BLOOD COUNT monocytes ,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_181,BLOOD TESTS,,Monocytes unit,BLOOD COUNT monocytes unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_182,BLOOD TESTS,,Eosinophils,BLOOD COUNT eosinophils,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_183,BLOOD TESTS,,Eosinophils unit,BLOOD COUNT eosinophils unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_184,BLOOD TESTS,,Platelets,BLOOD COUNT platelets,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_185,BLOOD TESTS,,Platelets unit,BLOOD COUNT platelets unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_186,BLOOD TESTS,,Neutrophils,BLOOD COUNT neutrophils,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_187,BLOOD TESTS,,Neutrophils unit,BLOOD COUNT neutrophils unit,,,,1,1,1,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_188,URINE TESTS,,Urine dip date/time,Date and time of URINE DIP test,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_189,URINE TESTS,,Leucocyte dip result,URINE DIP result,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_190,URINE TESTS,,Nitrite dip result,URINE DIP nitrite result,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_191,URINE TESTS,,pH dip result,URINE DIP pH result,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_192,URINE TESTS,,Protein dip result,URINE DIP protein result,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_193,URINE TESTS,,Glucose dip result,URINE DIP glucose result,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_194,URINE TESTS,,Ketone bodies dip result,URINE DIP ketone bodies result,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_195,URINE TESTS,,Erythrocytes dip result,URINE DIP erythrocytes result,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_196,URINE TESTS,,Hb dip result,URINE DIP Hb result,,,,3,3,1,2,3,Received from pathology labs as written report,,
NHIC_TRA_197,URINE TESTS,,Albumen test date/time,URINE TEST date - Albumen,,,,1,1,1,2,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_198,URINE TESTS,,Albumen test result,URINE TEST result - Albumen,,,,1,1,1,2,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_199,URINE TESTS,,Albumen test unit,URINE TEST unit  - Albumen,,,,1,1,1,2,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_200,URINE TESTS,,Microalbumen test date/time,URINE TEST date - Microalbumen,,,,4,4,4,4,4,Not available,,
NHIC_TRA_201,URINE TESTS,,Microalbumen test result,URINE TEST result - Microalbumen,,,,4,4,4,4,4,Not available,,
NHIC_TRA_202,URINE TESTS,,Microalbumen test unit,URINE TEST unit  - Microalbumen,,,,4,4,4,4,4,Not available,,
NHIC_TRA_203,TRANSPLANT BIOPSIES,,Biopsy date,Date of TRANSPLANT BIOPSY performed on a TRANSPLANT,,,,1,1,3,2,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_204,TRANSPLANT BIOPSIES,,Biopsy report text,TRANSPLANT BIOPSY Report Text,,,,2,2,3,1,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_205,TRANSPLANT BIOPSIES,,Biopsy ID,TRANSPLANT BIOPSY ID,,,,1,1,3,2,1,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_206,TRANSPLANT BIOPSIES,,Banff code,BANFF CODE Assigned to a TRANSPLANT BIOPSY,,,,2,2,3,2,2,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_207,TRANSPLANT BIOPSIES,,Banff symptom category,BANFF SYMPTOM Category assessed in a TRANSPLANT BIOPSY,,,,2,2,1,1,2,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_208,TRANSPLANT BIOPSIES,,Banff symptom category score,BANFF SYMPTOM score assigned to a TRANSPLANT BIOPSY,,,,2,2,1,1,2,Received from pathology labs repository,,ADD-DRVM repository and TXVM database
NHIC_TRA_209,TRANSPLANT BIOPSIES,,Acute rejection diagnosis?,Was an acute rejection diagnosis made as a result of the TRANSPLANT BIOPSY,,,,1,1,3,3,3,Events entered by research information manager via events screen. Only available for recent data.,TXVM events screen,TXVM database
NHIC_TRA_210,GENERIC CONSENT,,Consent to use tissue?,Has an INDIVIDUAL given CONSENT to use tissue?,,,,3,3,1,2,3,patients sign paper consent form at time of listing for transplant (in assessment clinic),"yes, standard transplant consent form",in the notes
NHIC_TRA_211,GENERIC CONSENT,,Consent to use genetic data?,Has an INDIVIDUAL given CONSENT to use genetic data?,,,,3,3,1,2,3,patients sign paper consent form at time of listing for transplant (in assessment clinic),"yes, standard transplant consent form",in the notes
NHIC_TRA_212,GENERIC CONSENT,,Consent to use blood?,Has an INDIVIDUAL given CONSENT to use blood?,,,,3,3,1,2,3,patients sign paper consent form at time of listing for transplant (in assessment clinic),"yes, standard transplant consent form",in the notes
NHIC_TRA_213,GENERIC CONSENT,,Consent to use records?,Has an INDIVIDUAL given CONSENT to use records?,,,,3,3,1,2,3,patients sign paper consent form at time of listing for transplant (in assessment clinic),"yes, standard transplant consent form",in the notes
NHIC_TRA_214,GENERIC CONSENT,,Consent to be contacted about research?,Has an INDIVIDUAL given CONSENT to be contacted about research?,,,,4,4,4,2,4,not part of consent obtained,,
NHIC_TRA_215,GENERIC CONSENT,,Consent for animal research?,Has an INDIVIDUAL given CONSENT to be involved in animal research?,,,,4,4,4,2,4,not part of consent obtained,,
NHIC_TRA_216,GENERIC CONSENT,,Date consent given,When was CONSENT given?,,,,3,3,1,2,3,patients sign paper consent form at time of listing for transplant (in assessment clinic),"yes, standard transplant consent form",in the notes
NHIC_TRA_217,GENERIC CONSENT,,Date consent withdrawn,When was CONSENT withdrawn?,,,,4,4,4,2,4,not part of consent obtained,,
NHIC_TRA_218,STUDY ENROLMENT,,Name of study/ies patient enrolled in,Name of a RESEARCH STUDY an INDIVIDUAL is enrolled in,,,,2,2,2,2,3,documented in notes on consent form for trial,,
NHIC_TRA_219,STUDY ENROLMENT,,Enrolment date/s,Date individual was enrolled in RESEARCH STUDY,,,,3,3,2,2,3,documented in notes on consent form for trial,,
NHIC_TRA_220,STUDY ENROLMENT,,Consent conditions,Any CONDTIONs that limit participation in RESEARCH STUDY,,,,3,3,2,2,3,documented in notes on consent form for trial (exclusion criteria),,
NHIC_TRA_221,STUDY ENROLMENT,,Withdrawal date/s,Date individual withdrew from RESEARCH STUDY,,,,3,3,2,2,3,documented in notes,,
NHIC_TRA_222,STUDY ENROLMENT,,Withdrawal conditions,Any CONDTIONs attached to withdrawal from RESEARCH STUDY,,,,3,3,2,2,3,documented in notes ,,
NHIC_TRA_223,STUDY ENROLMENT,,Study ID,Identifier used for INDIVIDUAL in RESEARCH STUDY,,,,3,3,2,2,3,documented in notes,,
NHIC_TRA_224,STUDY SAMPLE COLLECTION,,Sample ID,Identifier used for RESEARCH SAMPLE taken from INDIVIDUAL as part of RESEARCH STUDY,,,,3,3,2,2,3,documented in trial protocol,,
NHIC_TRA_225,STUDY SAMPLE COLLECTION,,Sample Type,Type of RESEARCH SAMPLE,,,,3,3,2,2,3,documented in trial protocol,,
NHIC_TRA_226,STUDY SAMPLE COLLECTION,,Sample Date,Date and time RESEARCH SAMPLE was given,,,,3,3,2,2,3,documented in trial protocol,,
NHIC_TRA_227,STUDY SAMPLE COLLECTION,,Sample Status,Current status of RESEARCH SAMPLE,,,,3,3,2,2,3,documented in trial protocol,,
NHIC_TRA_228,STUDY SAMPLE COLLECTION,,Sample quality,Quality of RESEARCH SAMPLE ,,,,4,4,4,2,4,,,
NHIC_TRA_229,STUDY SAMPLE COLLECTION,,Aliquot ID,Identifier of RESEARCH ALIQUOT made from RESEARCH SAMPLE,,,,3,3,2,2,3,documented in trial protocol,,
