Data item No.,Section,Sub-section,Data Item Name,Data Item Description,Value domain,Link to existing definition,Notes from GD/JCIS,"[Optional]
Local identifier",Location,Column1,"A: How is the data
item collected","B. How is the data item stored, within the centre?","C. How would you describe 
the existing coverage?","D. How would you describe 
the existing quality?","E. How hard would it be 
to achieve a score of 1 
for Parts A to D? "
Note: Use UICC coding. UICC Edition number must be specified for data item ","Site specific UICC (Union International Contre Cancer) coding is used
",TNM STAGE GROUPING (FINAL PRE TREATMENT),"This will be mapped from T, N and M values.",CR0580,MDT DTB,,1,1,1,1,1
NHIC_CAN_58,CORE,STAGING,T CATEGORY (INTEGRATED STAGE),This is the UICC code which classifies the size and extent of the primary tumour after treatment and/or after all available evidence has been collected. ,"Site specific UICC (Union International Contre Cancer) coding is used
",T CATEGORY (INTEGRATED STAGE),NB 'Integrated' _ 'Definitive',CR0620,PiLive V2,,1,1,1,1,1
NHIC_CAN_59,CORE,STAGING,N CATEGORY (INTEGRATED STAGE),This is the UICC code which classifies the absence or presence and extent of regional lymph node metastases after treatment and/or after all available evidence has been collected. ,"UICC (Union International Contre Cancer) coding is used.
",N CATEGORY (INTEGRATED STAGE),NB 'Integrated' _ 'Definitive',CR0630,PiLive V2,,1,1,1,1,1
NHIC_CAN_60,CORE,STAGING,M CATEGORY (INTEGRATED STAGE),This is the UICC code which classifies the absence or presence of distant metastases after treatment and/or after all available evidence has been collected. ,"UICC (Union International Contre Cancer) coding is used.
",M CATEGORY (INTEGRATED STAGE),NB 'Integrated' _ 'Definitive',CR0640,PiLive V2,,1,1,1,1,1
NHIC_CAN_61,CORE,STAGING,TNM STAGE GROUPING (INTEGRATED),"Record the overall TNM stage grouping of the tumour, derived from each T, N and M component after  treatment. This classification is based on all the evidence available to the clinician(s) with responsibility for assessing the patient. Such evidence arises from physical examination, imaging, endoscopy, biopsy, surgical exploration and other relevant examinations. 

The overall integrated TNM stage grouping indicates the tumour stage after treatment and/or after all available evidence has been collected.

Note: Use UICC coding. 
","Site specific UICC (Union International Contre Cancer) coding is used
",TNM STAGE GROUPING (INTEGRATED),"This will be mapped from T, N and M values.",CR0610,PiLive V2,,1,1,1,1,1
NHIC_CAN_62,CORE,STAGING,TNM EDITION NUMBER,"The UICC edition number used for Tumour, Node and Metastasis (TNM) staging for cancer diagnosis.","
",TNM EDITION NUMBER,,CR2070,,Need further explanation,4,4,4,4,4
NHIC_CAN_63,CORE,TREATMENT,CANCER TREATMENT EVENT TYPE,"The stage of treatment reached during a Cancer PATIENT PATHWAY for primary, recurrent or metastatic cancer.","01 
 : First Definitive Treatment for a new primary cancer 
02 
 : Second or subsequent treatment for a new primary cancer
03 
 : Treatment for a local recurrence of a primary cancer 
04 
 : Treatment for a regional recurrence of cancer 
05 
 : Treatment for a distant recurrence of cancer (metastatic disease) 
06 
 : Treatment for multiple recurrence of cancer (local and/or regional and/or distant) 
07 
 :  First treatment for metastatic disease following an unknown primary 
08 
 : Second or subsequent treatment for metastatic disease following an unknown primary 
09 
 : Treatment for relapse of primary cancer (second or subsequent) 
10 
 : Treatment for progression of primary cancer (second or subsequent) 
",CANCER TREATMENT EVENT TYPE,,CR1340,CTIS,,1,1,1,1,1
NHIC_CAN_64,CORE,TREATMENT,TREATMENT START DATE (CANCER),"This is the Start Date of the first, second or subsequent cancer treatment given to a PATIENT who is receiving care for a cancer condition.","
",TREATMENT START DATE (CANCER),,CR1370,CTIS,,1,1,1,1,1
NHIC_CAN_65,CORE,TREATMENT,CANCER TREATMENT MODALITY,The type of treatment or care which was delivered in a Cancer Treatment Period ,"01 : Surgery
02 : Anti-cancer drug regimen (Cytotoxic Chemotherapy)
03 : Anti-cancer drug regimen (Hormone Therapy)
04 : Chemoradiotherapy
05 : Teletherapy (Beam Radiation excluding Proton Therapy)
06 : Brachytherapy
07 : Specialist Palliative Care
08 : Active Monitoring (excluding non-specialist Palliative Care)
09 : Non-specialist Palliative Care (excluding Active Monitoring)
10 : Radio Frequency Ablation (RFA)
11 : High Intensity Focussed Ultrasound (HIFU)
12 : Cryotherapy
13 : Proton Therapy
14 : Anti-cancer drug regimen (other)
15 : Anti-cancer drug regimen (Immunotherapy)
16 : Light Therapy (including Photodynamic Therapy and Psoralen and Ultra Violet A (PUVA) Therapy)
17 : Hyperbaric Oxygen Therapy
19 : Radioisotope Therapy (including Radioiodine)

20 : Laser Treatment (including Argon Beam therapy)

21 : Biological Therapies (excluding Immunotherapy)

22 : Radiosurgery

97 : Other Treatment

98 : All treatment declined
",CANCER TREATMENT MODALITY,Either (1) Imported by HISS importer; or (2) completed by automatic proxy; or (3) manually entered,CR2040,N.A.,not necessary,4,4,4,4,4
NHIC_CAN_66,CORE,TREATMENT,ORGANISATION SITE CODE (PROVIDER TREATMENT START DATE (CANCER),SITE CODE (OF PROVIDER CANCER TREATMENT START DATE) is the ORGANISATION SITE CODE of the ORGANISATION where the TREATMENT START DATE FOR CANCER is recorded.,"see ORGANISATION SITE CODE
",SITE CODE (OF PROVIDER CANCER TREATMENT START DATE),Name shown. Code available in JCIS tables.,CR1450,,repeats 25?,4,4,4,4,4
NHIC_CAN_67,CORE,TREATMENT,CONSULTANT CODE,The Consultant code of the consultant responsible for the treatment of the patient,"The CONSULTANT CODE is derived from either the GENERAL MEDICAL COUNCIL REFERENCE NUMBER for GENERAL MEDICAL PRACTITIONERS, or the GENERAL DENTAL COUNCIL REGISTRATION NUMBER for GENERAL DENTAL PRACTITIONERS (where the dentist doesn't have a GENERAL MEDICAL COUNCIL REFERENCE NUMBER).
",CONSULTANT CODE,"Consultants initials are shown, not his Consultant Code. 
NB Imported activities only.
Can all users see this text?
I have assumed this value is for consultant responsible.  Is this so?",CR0660,,repeats 26?,4,4,4,4,4
NHIC_CAN_68,CORE,TREATMENT,CARE PROFESSIONAL MAIN SPECIALTY CODE,The main specialty code of the consultant responsible for the treatment of the patient,"Main Specialty Code
",CARE PROFESSIONAL MAIN SPECIALTY CODE,Not shown on JCIS.  Is this derivable? Do we have mappings for consultant initials to their main specialty code? Not sure that this is part of our model.,CR0670,,repeats 27?,4,4,4,4,4
NHIC_CAN_69,CORE,TREATMENT,ASSESSMENT DATE (CLINICALLY AGREED)*,Date of assessment.,"
",,,NHIC0002,,repeats 28?,4,4,4,4,4
NHIC_CAN_70,CORE,TREATMENT,RESPONSE TYPE,Clinical assessment of response to treatment.,"01 : Complete
02 : Partial
03 : Stable
04 : Progression
",,,NHIC0003,CTIS,,1,1,1,1,1
NHIC_CAN_71,CORE,TREATMENT,TYPE OF RESPONSE (CLINICALLY AGREED)*,How response was determined.,"01 : Clinical
02 : CA125
03 : Radiological
04 : Other

",,,NHIC0004,CTIS,,1,1,1,1,1
NHIC_CAN_72,CORE,CHEMOTHERAPY AND OTHER DRUGS,PROGRAMME NAME,"To allow for sequential analysis of patient care, may start at any number to account for previous treatment and is unique to each patient","
",SYSTEMIC ANTI-CANCER THERAPY PROGRAMME NUMBER,,SACT13,CTIS,,1,1,1,1,1
NHIC_CAN_73,CORE,CHEMOTHERAPY AND OTHER DRUGS,REGIMEN NUMBER,"To allow for sequential analysis of patient care, may start at any number to account for previous treatment and is unique to each patient","
",ANTI-CANCER REGIMEN NUMBER,,SACT14,CTIS,,1,1,1,1,1
NHIC_CAN_74,CORE,CHEMOTHERAPY AND OTHER DRUGS,INTENT OF TREATMENT,To allow analysis by treatment intent,"A : Adjuvant 
N : Neoadjuvant 
C : Curative
P : Palliative 
",DRUG TREATMENT INTENT,,SACT15,CTIS,,1,1,1,1,1
NHIC_CAN_75,CORE,CHEMOTHERAPY AND OTHER DRUGS,REGIMEN,To be consistent with the National Regimen List (when established),"
",DRUG REGIMEN ACRONYM,,SACT16,CTIS,,1,1,1,1,1
NHIC_CAN_76,CORE,CHEMOTHERAPY AND OTHER DRUGS,HEIGHT AT START OF REGIMEN,To allow comparison of dose by metre_,"
",PERSON HEIGHT IN METRES,,SACT17,CTIS,,1,1,1,1,1
NHIC_CAN_77,CORE,CHEMOTHERAPY AND OTHER DRUGS,WEIGHT AT START OF REGIMEN,To allow comparison of dose by metre_,"
",PERSON WEIGHT ,,SACT18,CTIS,,1,1,1,1,1
NHIC_CAN_78,CORE,CHEMOTHERAPY AND OTHER DRUGS,PERFORMANCE STATUS AT START OF REGIMEN,WHO or Lansky - to allow casemix adjusted analysis,"
","PERFORMANCE STATUS FOR (ADULT)
or
PERFORMANCE STATUS CODE (YOUNG PERSON) ",,SACT19,CTIS,,1,1,1,1,1
NHIC_CAN_79,CORE,CHEMOTHERAPY AND OTHER DRUGS,CO-MORBIDITY ADJUSTMENT,Yes/no -to allow casemix adjusted analysis,"
",CO-MORBIDITY ADJUSTMENT INDICATOR,,SACT20,CTIS,,1,1,1,1,1
NHIC_CAN_80,CORE,CHEMOTHERAPY AND OTHER DRUGS,START DATE OF REGIMEN,To allow analysis by time period,"
",START DATE ANTI- CANCER DRUG REGIMEN,,SACT22,CTIS,,1,1,1,1,1
NHIC_CAN_81,CORE,CHEMOTHERAPY AND OTHER DRUGS,CHEMO-RADIATION,"Yes/no - to identify use of chemo-radiation, only used where this is a recognised treatment regimen","
",CHEMO-RADIATION INDICATOR,,SACT24,N.A.,,4,4,4,4,4
NHIC_CAN_82,CORE,CHEMOTHERAPY AND OTHER DRUGS,NUMBER OF CYCLES PLANNED,To allow comparison with number of cycles actually given. Not necessarily relevant for palliative treatment,"

",NUMBER OF SYSTEMIC ANTI-CANCER THERAPY CYCLES PLANNED,,SACT25,N.A.,not recorded,4,4,4,4,4
NHIC_CAN_83,CORE,CHEMOTHERAPY AND OTHER DRUGS,CYCLE NUMBER,Sequential within each regimen and indicates the patient's progress through the regimen ,"
",ANTI-CANCER DRUG CYCLE IDENTIFIER,,SACT26,CTIS,,1,1,1,1,1
NHIC_CAN_84,CORE,CHEMOTHERAPY AND OTHER DRUGS,START DATE OF CYCLE,The date of the first administration in each cycle,"
",START DATE (SYSTEMIC ANTI-CANCER DRUG CYCLE),,SACT27,CTIS,,1,1,1,1,1
NHIC_CAN_85,CORE,CHEMOTHERAPY AND OTHER DRUGS,WEIGHT AT START OF CYCLE,Where relevant to allow for recalculation of dose,"
",PERSON WEIGHT ,,SACT28,CTIS,,1,1,1,1,1
NHIC_CAN_86,CORE,CHEMOTHERAPY AND OTHER DRUGS,PERFORMANCE STATUS AT START OF CYCLE,To assess patient's suitability for further treatment,"
","PERFORMANCE STATUS FOR (ADULT)
or
PERFORMANCE STATUS CODE (YOUNG PERSON) ",,SACT29,CTIS,,1,1,1,1,1
NHIC_CAN_87,CORE,CHEMOTHERAPY AND OTHER DRUGS,OPCS PROCUREMENT CODE,To await final decision on PbR structure,"

",PRIMARY PROCEDURE (OPCS),,SACT30,CTIS,,1,1,1,1,1
NHIC_CAN_88,CORE,CHEMOTHERAPY AND OTHER DRUGS,DRUG NAME,This is the approved name in the BNF. It identifies individual drug usage,"
",SYSTEMIC ANTI-CANCER DRUG NAME,,SACT31,CTIS,,1,1,1,1,1
NHIC_CAN_89,CORE,CHEMOTHERAPY AND OTHER DRUGS,ACTUAL DOSE PER ADMINISTRATION,For oral regimens this is the daily dose. Allows calculation of cumulative dose per patient and global drug usage ,"
",CHEMOTHERAPY ACTUAL DOSE,,SACT32,CTIS,,1,1,1,1,1
NHIC_CAN_90,CORE,CHEMOTHERAPY AND OTHER DRUGS,ADMINISTRATION ROUTE,Pick list - to allow analysis by route of administration for each drug,"1 : Intravenous
2 : Oral
3 : Intrathecal
4 : Intramuscular
5 : Subcutaneous
6 : Intraarterial
7 : Intraperitoneal
8 : Other intracavity Intracavernous
9 : Intra-Vesicular Intravesical
10 : Intratumour Intralesional
11 : Topical Cutaneous
12 : Intradermal
",SYSTEMIC ANTI-CANCER THERAPY DRUG ROUTE OF ADMINISTRATION,,SACT33,CTIS,,1,1,1,1,1
NHIC_CAN_91,CORE,CHEMOTHERAPY AND OTHER DRUGS,ADMINISTRATION DATE,The  date of actual administration,"
",SYSTEMIC ANTI-CANCER THERAPY ADMINISTRATION DATE,,SACT34,CTIS,,1,1,1,1,1
NHIC_CAN_92,CORE,CHEMOTHERAPY AND OTHER DRUGS,REGIMEN MODIFICATION - DOSE GIVEN (%),The numeric figure represents the % dose given.,"
",,,NHIC0005,CTIS,,1,1,1,1,1
NHIC_CAN_93,CORE,CHEMOTHERAPY AND OTHER DRUGS,REGIMEN MODIFICATION - INCOMPLETE DOSE ESTIMATE,Yes/no - If this field is 'Yes' then the dose is not the actual amount dispensed but an estimated value,"
",,,NHIC0006,CTIS,,1,1,1,1,1
NHIC_CAN_94,CORE,CHEMOTHERAPY AND OTHER DRUGS,ORGANISATION CODE OF PROVIDER,This may change throughout a regimen. Allows analysis by provider,"
",ORGANISATION CODE (CODE OF PROVIDER),,SACT35,CTIS,,1,1,1,1,1
NHIC_CAN_95,CORE,CHEMOTHERAPY AND OTHER DRUGS,OPCS DELIVERY CODE,To await final decision on PbR structure,"

",PRIMARY PROCEDURE (OPCS),,SACT36,CTIS,,1,1,1,1,1
NHIC_CAN_96,CORE,CHEMOTHERAPY AND OTHER DRUGS,DATE OF FINAL TREATMENT,Date of the start of the final cycle,"
",START DATE (FINAL SYSTEMIC ANTI-CANCER THERAPY) ,,SACT37,CTIS,,1,1,1,1,1
NHIC_CAN_97,CORE,CHEMOTHERAPY AND OTHER DRUGS,REGIMEN MODIFICATION - DOSE REDUCTION,Yes/no - where a dose of any SACT drug is reduced at any cycle,"
",SYSTEMIC ANTI-CANCER THERAPY REGIMEN MODIFICATION INDICATOR (DOSE REDUCTION) ,,SACT38,CTIS,,1,1,1,1,1
NHIC_CAN_98,CORE,CHEMOTHERAPY AND OTHER DRUGS,REGIMEN MODIFICATION - TIME DELAY,Yes/no - where administration of drugs is delayed > 5 days at any cycle,"
",SYSTEMIC ANTI-CANCER THERAPY REGIMEN MODIFICATION INDICATOR (TIME DELAY) ,,SACT39,CTIS,,1,1,1,1,1
NHIC_CAN_99,CORE,CHEMOTHERAPY AND OTHER DRUGS,REGIMEN MODIFICATION - STOPPED EARLY,Yes/no - where the regimen is abandoned before the planned number of cycles,"
",SYSTEMIC ANTI-CANCER THERAPY REGIMEN MODIFICATION INDICATOR (DAYS REDUCED) ,,SACT40,CTIS,,1,1,1,1,1
NHIC_CAN_100,CORE,CHEMOTHERAPY AND OTHER DRUGS,REGIMEN OUTCOME SUMMARY,Six option pick list to summarise the regimen outcome,"

",PLANNED TREATMENT CHANGE REASON,,SACT41,CTIS,,1,1,1,1,1
NHIC_CAN_101,CORE,SURGERY AND OTHER PROCEDURES,CANCER TREATMENT INTENT,The original intention of the cancer treatment provided during a Cancer Care Spell.,"C : Curative
D : Diagnostic
S : Staging
P : Palliative
9 : Not Known
",CANCER TREATMENT INTENT,,CR0680,N.A.,needed?,4,4,4,4,4
NHIC_CAN_102,CORE,SURGERY AND OTHER PROCEDURES,PROCEDURE DATE,The date the procedure was carried out.,"
",PROCEDURE DATE,,CR0710,MDT DTB,,1,1,1,1,1
NHIC_CAN_103,CORE,SURGERY AND OTHER PROCEDURES,PRIMARY PROCEDURE (OPCS),Primary procedure is the main procedure carried out.,"The codes for both OPCS-4 and Read are maintained by NHS Connecting for Health.
",PRIMARY PROCEDURE (OPCS),"For Papworth, dat aonly available from source indicated in bold.",CR0720,MDT DTB,,1,1,1,1,1
NHIC_CAN_104,CORE,SURGERY AND OTHER PROCEDURES,PROCEDURE (OPCS),"This is a procedure other than the PRIMARY PROCEDURE (OPCS), carried out and recorded for CDS or Hospital Episode Statistics purposes. (This may occur more than once).","The codes for both OPCS-4 and Read are maintained by NHS Connecting for Health.

",PROCEDURE (OPCS),"For Papworth, dat aonly available from source indicated in bold.",CR0730,MDT DTB,,1,1,1,1,1
NHIC_CAN_105,CORE,SURGERY AND OTHER PROCEDURES,DISCHARGE DATE (HOSPITAL PROVIDER SPELL),"The date a PATIENT was discharged from a Hospital Provider Spell.
","
",DISCHARGE DATE (HOSPITAL PROVIDER SPELL),,CR0740,Patient's notes,,1,1,1,1,1
NHIC_CAN_106,CORE,SURGERY AND OTHER PROCEDURES,DISCHARGE DESTINATION (HOSPITAL PROVIDER SPELL),This records the destination of a PATIENT on completion of the Hospital Provider Spell. It can also indicate that the PATIENT died. ,"19 : Usual place of residence unless listed below, for example, a private dwelling whether owner occupied or owned by local authority, housing association or other landlord. This includes wardened accommodation but not residential accommodation where health care is provided. It also includes PATIENTS with no fixed abode.
29 : Temporary place of residence when usually resident elsewhere (includes hotel, residential educational establishment)
30 : Repatriation from high security psychiatric accommodation in an NHS Hospital Provider (NHS Trust)
37 : Court
38 : Penal establishment or police station
48 : High Security Psychiatric Hospital, Scotland
49 : NHS other hospital provider - high security psychiatric accommodation
50 : NHS other hospital provider - medium secure unit
51 : NHS other hospital provider - ward for general PATIENTS or the younger physically disabled
52 : NHS other hospital provider - ward for maternity PATIENTS or neonates
53 : NHS other hospital provider - ward for PATIENTS who are mentally ill or have learning disabilities
54 : NHS run Care Home
65 : Local Authority residential accommodation i.e. where care is provided
66 : Local Authority foster care
79 : Not applicable - PATIENT died or still birth
84 : Non-NHS run hospital - medium secure unit
85 : Non-NHS (other than Local Authority) run Care Home
87 : Non-NHS run hospital
88 : Non-NHS (other than Local Authority) run Hospice
Default Codes
98 : Not applicable - hospital provider spell not finished at episode end (i.e. not discharged, or current episode unfinished)
99 : Not Known
",DISCHARGE DESTINATION CODE (HOSPITAL PROVIDER SPELL),Imported,CR0750,,Electronic discharge summary,4,4,4,4,4
NHIC_CAN_107,CORE,ACTIVE MONITORING,MONITORING INTENT,"The purpose of monitoring a patient.
Note: in the Cancer Outcomes and Services Dataset this may only be used for First Definitive Treatment.","1 : Monitoring with future curative intent
2 : Monitoring with future  palliative intent
3 : Monitoring with unknown or uncertain future intent
",MONITORING INTENT,Gap. ,CR1240,N.A.,,4,4,4,4,4
NHIC_CAN_108,CORE,PATHOLOGY DETAILS,INVESTIGATION RESULT DATE,The date on which an investigation was concluded e.g. the date the result was authorised.,"
",INVESTIGATION RESULT DATE,Imported,CR0780,N.A.,,4,4,4,4,4
NHIC_CAN_109,CORE,PATHOLOGY DETAILS,SERVICE REPORT IDENTIFIER,A unique identifier of a SERVICE REPORT.,"
",SERVICE REPORT IDENTIFIER,Imported,CR0950,N.A.,,4,4,4,4,4
NHIC_CAN_110,CORE,PATHOLOGY DETAILS,SERVICE REPORT STATUS,The status of the SERVICE REPORT.,"1 : Final (complete)
2 : Preliminary (Interim)
3 : Test not available
4 : Unspecified
5 : Supplementary/second opinion
",SERVICE REPORT STATUS,Imported,CR0960,N.A.,,4,4,4,4,4
NHIC_CAN_111,CORE,PATHOLOGY DETAILS,CARE PROFESSIONAL CODE (PATHOLOGY TEST REQUESTED BY),The code of the CARE PROFESSIONAL who requests the pathology test. This is not required if the request comes from a GENERAL MEDICAL PRACTITIONER.,"
",CARE PROFESSIONAL CODE (PATHOLOGY TEST REQUESTED BY),Imported?  Needs checking,CR0990,N.A.,Need further explanation,4,4,4,4,4
NHIC_CAN_112,CORE,PATHOLOGY DETAILS,ORGANISATION SITE CODE (PATHOLOGY TEST REQUESTED BY) ,SITE CODE (OF PATHOLOGY TEST REQUEST) is the ORGANISATION SITE CODE of the ORGANISATION at which the CARE PROFESSIONAL who requested the DIAGNOSTIC TEST REQUEST for suspected cancer is based.,"see ORGANISATION SITE CODE
",SITE CODE (OF PATHOLOGY TEST REQUEST),Imported?  Needs checking,CR0980,PiLive V2,,1,1,1,1,1
NHIC_CAN_113,CORE,PATHOLOGY DETAILS,SAMPLE COLLECTION DATE,The date that a SAMPLE collection takes place or the start of a period for SAMPLE collection.,"
",SAMPLE COLLECTION DATE,Imported?  Needs checking,CR1010,PiLive V2,,1,1,1,1,1
NHIC_CAN_114,CORE,PATHOLOGY DETAILS,SAMPLE RECEIPT DATE,Date of receipt of a SAMPLE by a LABORATORY.,"
",SAMPLE RECEIPT DATE,Imported,CR0770,PiLive V2,,1,1,1,1,1
NHIC_CAN_115,CORE,PATHOLOGY DETAILS,ORGANISATION CODE (OF REPORTING PATHOLOGIST),This is the ORGANISATION CODE of the ORGANISATION at which the authorising pathologist is based.,"see ORGANISATION CODE
",ORGANISATION CODE (OF REPORTING PATHOLOGIST),Imported,CR0800,PiLive V2,,1,1,1,1,1
NHIC_CAN_116,CORE,PATHOLOGY DETAILS,CONSULTANT CODE (PATHOLOGIST),CONSULTANT CODE of the Pathologist who authorises the pathology report.,"The CONSULTANT CODE is derived from either the GENERAL MEDICAL COUNCIL REFERENCE NUMBER for GENERAL MEDICAL PRACTITIONERS, or the GENERAL DENTAL COUNCIL REGISTRATION NUMBER for GENERAL DENTAL PRACTITIONERS (where the dentist doesn't have a GENERAL MEDICAL COUNCIL REFERENCE NUMBER).
",CONSULTANT CODE (PATHOLOGIST),Gap,CR0790,PiLive V2,,1,1,1,1,1
NHIC_CAN_117,CORE,PATHOLOGY,SPECIMEN NATURE,The nature of the specimen taken during a Clinical Investigation.,"1 : Primary tumour
2 : Further excision of primary tumour
4 : Regional Lymph Nodes
5 : Metastatic site other than regional lymph nodes
9 : Not Known
",SPECIMEN NATURE,Imported,CR0970,PiLive V2,,1,1,1,1,1
NHIC_CAN_118,CORE,PATHOLOGY DETAILS,TOPOGRAPHY (SNOMED),This is the topographical site of the tumour as categorised by SNOMED RT,"
",TOPOGRAPHY (SNOMED),Imported,CR0530,Imaging DTB,,1,1,1,1,1
NHIC_CAN_119,CORE,PATHOLOGY DETAILS,MORPHOLOGY (SNOMED),This is the morphology of the tumour as categorised by SNOMED RT,"
",MORPHOLOGY (SNOMED),Imported + manually entered,CR0850,Imaging DTB,,1,1,1,1,1
NHIC_CAN_120,CORE,PATHOLOGY DETAILS,PRIMARY DIAGNOSIS (ICD PATHOLOGICAL),PRIMARY DIAGNOSIS (ICD PATHOLOGICAL) is the PRIMARY DIAGNOSIS based on the evidence from a pathological examination.,"
",PRIMARY DIAGNOSIS (ICD PATHOLOGICAL),Imported + manually entered,CR0810,Imaging DTB,,1,1,1,1,1
NHIC_CAN_121,CORE,PATHOLOGY DETAILS,TUMOUR LATERALITY(PATHOLOGICAL),Tumour laterality identifies the side of the body for a tumour relating to paired organs within a PATIENT based on the evidence from a pathological examination.,"L : Left
R : Right
M : Midline
B : Bilateral
8 : Not applicable
9 : Not Known
",TUMOUR LATERALITY(PATHOLOGICAL),Imported + manually entered,CR0820,Imaging DTB,,1,1,1,1,1
NHIC_CAN_122,CORE,PATHOLOGY DETAILS,PATHOLOGY INVESTIGATION TYPE,The type of pathology investigation carried out.,"CY : Cytology
BU : Biopsy NOS
EX : Excision
PE : Partial Excision
RE : Radical Excision
FE : Further Excision
CU : Curettage
SB : Shave Biopsy
PB : Punch Biopsy
IB : Incisional Biopsy
99 : Uncertain/other
",PATHOLOGY INVESTIGATION TYPE,Imported,CR0760,Imaging DTB,,1,1,1,1,1
NHIC_CAN_123,CORE,PATHOLOGY DETAILS,PATHOLOGY REPORT TEXT,The full text from the pathology report which may be required by Registries to calculate diagnosis and staging details  ,"
",PATHOLOGY REPORT TEXT,Imported,CR1020,Imaging DTB,,1,1,1,1,1
NHIC_CAN_124,CORE,PATHOLOGY DETAILS,LESION SIZE (PATHOLOGICAL),"The size in millimetres of the diameter of a lesion, largest if more than one, if the histology of a SAMPLE proves to be invasive.","
",LESION SIZE (PATHOLOGICAL),Imported + manually entered,CR0830,Imaging DTB,,1,1,1,1,1
NHIC_CAN_125,CORE,PATHOLOGY DETAILS,GRADE OF DIFFERENTIATION (PATHOLOGICAL),GRADE OF DIFFERENTIATION (PATHOLOGICAL) is the definitive grade of the Tumour based on the evidence from a pathological examination.,"GX : Grade of differentiation is not appropriate or cannot be assessed
G1 : Well differentiated
G2 : Moderately differentiated
G3 : Poorly differentiated
G4 : Undifferentiated / anaplastic
",GRADE OF DIFFERENTIATION (PATHOLOGICAL),Imported + manually entered,CR0860,Imaging DTB,,1,1,1,1,1
NHIC_CAN_126,CORE,PATHOLOGY DETAILS,CANCER VASCULAR OR LYMPHATIC INVASION,"An indication of the presence or absence of unequivocal tumour in lymphatic and/or  vascular spaces.
","NU : No - vascular/lymphatic invasion not present
YU : Yes - vascular/lymphatic invasion present
YV :  Vascular invasion only present
YL : Lymphatic invasion only present
YB : Both lymphatic and vascular invasion present""
UU : Uncertain whether vascular/lymphatic invasion is present or not
99 : Not Known
",CANCER VASCULAR OR LYMPHATIC INVASION,Imported + manually entered,CR0870,Imaging DTB,,1,1,1,1,1
NHIC_CAN_127,CORE,PATHOLOGY DETAILS,EXCISION MARGIN,"An indication of whether the excision margin was clear of the tumour and if so, by how much.

 Where there is  more than one measurement, record the closest or closest relevant margin. 
Where actual measurements are not taken use options 01, 05 or 06.","01 : Excision margins are clear (distance from margin not stated)
02 : Excision margins are clear (tumour >5mm from the margin)
03 : Excision margins are clear (tumour >1mm but less than or equal to 5mm from the margin
04 : Tumour is less than or equal to 1mm of excision margin, but does not reach margin
05 : Tumour reaches tumour margin
06 : Uncertain
98 : Not applicable
99 : Not Known
",EXCISION MARGIN,Imported + manually entered,CR0880,N.A.,,4,4,4,4,4
NHIC_CAN_128,CORE,PATHOLOGY DETAILS,SYNCHRONOUS TUMOUR INDICATOR,An indicator of the presence of multiple tumours at a tumour site.,"N : No, no synchronous tumours present 
Y : Yes, synchronous tumours present 
9 : Not Known
",SYNCHRONOUS TUMOUR INDICATOR,Imported,CR0840,PiLive V2,,1,1,1,1,1
NHIC_CAN_129,CORE,PATHOLOGY DETAILS,NUMBER OF NODES EXAMINED,The number of local and regional nodes examined.,"
",NUMBER OF NODES EXAMINED,Imported + manually entered,CR0890,PiLive V2,,1,1,1,1,1
NHIC_CAN_130,CORE,PATHOLOGY DETAILS,NUMBER OF NODES POSITIVE,The number of local and regional nodes reported as being positive for the presence of Tumour metastases.,"
",NUMBER OF NODES POSITIVE,Imported + manually entered,CR0900,PiLive V2,,1,1,1,1,1
NHIC_CAN_131,CORE,PATHOLOGY DETAILS,T CATEGORY (PATHOLOGICAL),"T CATEGORY (PATHOLOGICAL) is the Union for International Cancer Control (UICC) code which classifies the size and extent of the primary Tumour based on the evidence from a pathological examination.

","UICC (Union International Contre Cancer) coding is used.
",T CATEGORY (PATHOLOGICAL),Imported + manually entered,CR0910,PiLive V2,,1,1,1,1,1
NHIC_CAN_132,CORE,PATHOLOGY DETAILS,N CATEGORY (PATHOLOGICAL),"N CATEGORY (PATHOLOGICAL) is the Union for International Cancer Control (UICC) code which classifies the absence or presence and extent of regional lymph node metastases based on the evidence from a pathological examination.

","UICC (Union International Contre Cancer) coding is used.
",N CATEGORY (PATHOLOGICAL),Imported + manually entered,CR0920,PiLive V2,,1,1,1,1,1
NHIC_CAN_133,CORE,PATHOLOGY DETAILS,M CATEGORY (PATHOLOGICAL),"M CATEGORY (PATHOLOGICAL) is the Union for International Cancer Control (UICC) code which classifies the absence or presence of distant metastases based on the evidence from a pathological examination.

","UICC (Union International Contre Cancer) coding is used.
",M CATEGORY (PATHOLOGICAL),Imported + manually entered,CR0930,PiLive V2,,1,1,1,1,1
NHIC_CAN_134,CORE,PATHOLOGY DETAILS,TNM STAGE GROUPING (PATHOLOGICAL),"TNM STAGE GROUPING (PATHOLOGICAL) is the Union for International Cancer Control (UICC) code which classifies the combination of Tumour, node and metastases into stage groupings based on the evidence from a pathological examination.","UICC (Union International Contre Cancer) coding is used.
",TNM STAGE GROUPING (PATHOLOGICAL),"This will be mapped from T, N and M values.",CR0940,PiLive V2,,1,1,1,1,1
NHIC_CAN_135,CORE,PATHOLOGY DETAILS,NEOADJUVANT THERAPY INDICATOR,"Indicator of whether the pathological stage was recorded after the patient had received neoadjuvant therapy.
","Y : YES
N : NO
